Name,Rating,Total Reviews,Photo URL 1,Photo URL 2,Photo URL 3,Google Maps Link
Sodsai Health Massage Branch 2,5,357,https://places.googleapis.com/v1/places/ChIJ3TpUveDxVDART1A-OeG40Yg/photos/AeeoHcIUmSBmiQwqH3izFOZSmzBanmS5678CcNSMrR1vPcH7rACD1gPMqPwnHXs5TYCHjdNwWOB-ghOO5HHHmj5699cY3iLF6dJ2YTKk6t2IwlxMEGtfyGaaRaljs3PKuRBCldFTZ1JVbOHkuZey6Ogu9sZkjUDJEBnEnjaMfGaWq4J-G87In8RoLUC_FOWtlKKCj_SlZW3U4TM5hq8zCx88nR_QLeWs7HtwmBS2QL08rv3NI7WfzKN9XA2u0TKxMd-WqM-6uJq-j_FwwUA9-1McLFvkP6XFNTDCs-fAhNEAh36N2eTvDyX6B9wxu_KDZd1lkXj5ST3KwXinE3RefQ8yw5NSY4n_0wDPYnzdV1vaPEUUawTPD_NWC5sh3c0rbHffw9LZOrjDehb_DVOpvxJscYYOpEQ8OcQkTllLJN3oDGFkqXGc/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://places.googleapis.com/v1/places/ChIJ3TpUveDxVDART1A-OeG40Yg/photos/AeeoHcIXJSHN9-Sfz8xcp7u8myg9FpCnkRLpP4EJa85gkD14yQDiS1BKHHTLPw4VFvRiC59FJJ5hi0iKUcMeuZKlqyxDwRd14LkBf81qsnYFogwFcd9FXKiS2KFAwHz8seagf8aE-zDXTTVcGEOGT7dWSgtU04VRNIYl8ezzcFzg662H0DUDSQ5GIPqZvsjZ4vfMQ3kk63IJ3mOOih_XupvXPJRyhvRjYmeZae4z6IdGAfevoBobXf0cnXXQoC89lo6L9OHeVgaUk7DGVCL5xCFUhqWhWeEp4vM3cfYYYPXiNbIitw/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://places.googleapis.com/v1/places/ChIJ3TpUveDxVDART1A-OeG40Yg/photos/AeeoHcJfhRZFsTTYonQRlpxOwqoq6X945MuxGuL_IzirlK_uqv2Nti1oxT2ievQGVqAZlpPlkIZKA4tZdpPhTGI37u1RXhOTbZdwDVwSsemJSiY18HYZ0DWHlvVEzLvjYaU63G-lTBaSAgZpZnkj05IOZFRLHzvA4YOf3nSjaxa7Q_PufNKURHyenOiGNXTGiGbxTl-5-fZSS6aZ8qP32dMNRdipmRn59sBiqng2IwNPQgtaFak1k34mtpTAUf7zwTXztNUAIFDE7Jv4v98r1FDjwjB8rkkzrjhaz_jiLtMwgXi8PPWInNI6WbJur2trCrcfR5qJX6UL0VSQF-CPIF0fldf7u8OfroDFGlrJ6X5A-YOj183fiIlI-aXLf8a4h58oNG0hBZ2IWr5HUXonNeb4eXhGbo-vxZK-aFpXEbcBjwk58tud/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://www.google.com/maps/place/?q=place_id:ChIJ3TpUveDxVDART1A-OeG40Yg
Serene Massage Bangrak,5,38,https://places.googleapis.com/v1/places/ChIJ6QjJDLjxVDARXiV-xIG0wyc/photos/AeeoHcKZwENCaudzMasx4IGSiIgesPGO4m7zu5bEvaIrmarHEuEOWXrphsLN2UwDZ5TWQpGllJLVXxzrt6ZIzr20cXzoT9URQMiQX3WeMh-9EMClkVQmNfqbzjM6Xu5sybzADOXDlIqq0U8D0x-6zAjMbw-gcxOPmihtWtY3DvYRUaTH3UpVZIrtREn_IBJpwGBKUcGsz4_VEKF9z5ehrzfysnL3k5ekYW6gWmpyiZWQlbseSWpYAsIZmsBOlxk1EhiXxTWXPWIejjyKZ3WTu_dvPdV2WEzUk0lm474zWwlUxHJidg/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://places.googleapis.com/v1/places/ChIJ6QjJDLjxVDARXiV-xIG0wyc/photos/AeeoHcKPe-WlxfQ9f7dLVeAAj-pGjxw6-ivc_P2CDBaF254rlYwLMStNWfzewQxdgZUTKUoqddQlJ01CkBfM6UHsyJHoic2lj5u3IKbgbJX3wZvS8pQUApKbWVxS74evBMkEPUK8jyelYqe14V4K5JYfTjNoCSdp-P-eE_fMzrL8CUhiGIC0Lgpofj6QjvflA7GPaSkWJWMrTVKLVI3FusesPgUe97V_sjPDV00zQoXsoLTXfCKjfV7XXJ_2xOcK9uqMBU9Txji5QqqNlnUnVx0Ncq4QQTk4mM9iNwrMDdsoMaV-gw/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://places.googleapis.com/v1/places/ChIJ6QjJDLjxVDARXiV-xIG0wyc/photos/AeeoHcLKZX2K6U8Bhlwd0hWvynEbAmpoXr2-IuSDXqrQvXiGuKXBeGmUQ7mccwuMQ9igKcxp1moF1P5plHODfKPAld39-w2ErRpQ2UpQbsb3IDBk-20d64Z57gkqtL1nvkpTq9lMMrnbwjvkWAns0pgNEgZ7gaP2jQfAeDBByaB_0SfcvBFksmG6tlF3-vcXWwyrfx-JE2a-0qGh7slqDoD6JP9mxd2DOzqWe52Jefh73nUWRT8fdSdMaaZ_aYnltoiTOvQ-FFQ70GUVcMI8oxoFTdgIhBQKJrqc7qoWSzLXU9daGQ/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://www.google.com/maps/place/?q=place_id:ChIJ6QjJDLjxVDARXiV-xIG0wyc
MARISA MASSAGE & NAIL,4.7,265,https://places.googleapis.com/v1/places/ChIJM65G3HrxVDAR-KWZg6o2-uo/photos/AeeoHcIzs6u5Mo4B0cUc1GWAQU3bO_3NNZvc49s7kJn1cUbJ52fKlAkB3Mdv5H7G93l4NSQYu3Zc5fBfy2VaPIervk0yu-PH9EAeD6QpcouUqsg0vo0HBLAULuE10CwoNE6JEi0Bqmr2fQ5AL69BNsdXTe0fK4_jZexU9NXAm24ebpXcDHgEKYrtbKS10Rhcg2utw6_Ka1eAO98WcSoEWYAjomE2-ir4cvVA3_NxcVh74WAsESfwCuz26Q-U9cwnCzqZIovqZfTmFtl5dG4tbjY-y6N7hKLIvuaf6m42gUAFxzp79A/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://places.googleapis.com/v1/places/ChIJM65G3HrxVDAR-KWZg6o2-uo/photos/AeeoHcIxkPn3hLWwvwUN1O8y4x5gBjpcLWx_xjLF0K00rB32vZMZ_C914rwdIh3l928QvZ5-5TLLA_tXBLstwrW8RoO8rUyr7Xu3vWjeKnGBguFGRqG1HlBsr7bQzkm53hfQPBNAUeJgN8cbJwpf7JEpRzoc-hwhFZcM-u48xhNJKDZhxI7ZNANJHhjQn9Ot484UpqNLtlXEFjpy_q5qukyxxEBSkKQNW6ggJOJuDULwZdBUmjJuhYTZr5DElIc55Q6Ewhd3-i0e_kKPAeDTVrMK9Zc3ltnD_Fv9WbZjlZjSTJfhZA/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://places.googleapis.com/v1/places/ChIJM65G3HrxVDAR-KWZg6o2-uo/photos/AeeoHcK-6q_ec4sdN9QmosF8RdERBd1e0PLTy5PYYz9a0jwiGSXFy85OdYEfGOJ_GIxyCqmZmKDNbeN7FBE3x2AjeGPkziexENi9NgUC0aZcAta86uQqr6t7mz7XOyEhOIKsebR4Bo-U5qiWQyLBC4Z4RxJxaLzn8Zz_DVKVDU4tSiw7NOwLMX9RO22SB1HMLr7L1my9Vfx81KeuVaz3XIvLBWiluoeb7S1rxpyzX0DRsLEUzSGO5qJ679jgo45rforiYFbFdqAhKCsgex73-AS-fwfKc1q27PrKN6UJiFsCUbtYNw/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://www.google.com/maps/place/?q=place_id:ChIJM65G3HrxVDAR-KWZg6o2-uo
Sunflower Massage & Spa Bangrak,4.9,143,https://places.googleapis.com/v1/places/ChIJsaIBRlbxVDARkMlzkP7Gyd4/photos/AeeoHcIbrpYb5q5pVaMjod6T_60tHDSk4vug7uyR5T1tDdGYjumDygwhFbgKib0x0IDsTaviRIb7UA8fjTdEZo75IC_IZdQ3ziy5kyG44XVCDR8jU7jggrRVEwnfBFwYwlaPIEvJeIuqNpRaujfoI_-oNve3OtEhQ06Dp7znDlBJtkEl_v1rLFHgOpAaqFdWD4ix4kx8zT9YUwJx_ObB54WKSGF9OmONzCbbe5WPAkzwZjui1cMlpIXu0cEAjmrhIvP5274ZgBtlJyGABjO8vnytpIu5AKw9FPYDsc1kDPwlgsz4ZQ/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://places.googleapis.com/v1/places/ChIJsaIBRlbxVDARkMlzkP7Gyd4/photos/AeeoHcJuyRarnUIigZ3bVV90C5WavB7AvfTtB9_cwfUK91XXCgWv-pAKDGSvKNqUiLFWtzkICPHxvtuv20OfEDbqTnIcPgGXAPSx3-LxP1JWdgOXtaUSAPSb8pM0BBjdRxPCR7E_pJnaFQHartH1GbvoZjLGa_hFRxmBPolMvJVagXpIKoJkWg-RO0Ejn16p7SaENUm8ybwMC17LS7T9cc_SIrr46Z4r3ZgMKEKjj_0H1XXSmLORazLYVC18PtZ6fmrMb-N4Jj8oJmfQMIW3Q5lPHKzSYjRBC3bGWrrjID4ZYMxz3g/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://places.googleapis.com/v1/places/ChIJsaIBRlbxVDARkMlzkP7Gyd4/photos/AeeoHcKGa2w8o_JmBXM-aCXMcRlHPdQZXn41JbaEcnu31AmTKceBWvCMn6jovPSfncM6mWOhaT19Lo3okd08X4JxoS9xlXDZkNP1uso8iptn8sWnIJYex1Qm91AVZFNFYRa0_Dcj3O6pnlTduIeeVuKTwswNSFoD_p11KU4-0Eo2HDE5xBIKNG3RD3dcd6rYAGBsL3k1mMkTj69fJCFbXo_5VkAgpCF3Om5uxd9lS3d4EFHEXXzsebRPRZJiMmT6bAA-3PgCI-dKzpDnCKjERI77EhYollv1H0TfcDRNN-ltUfNE9rdX-sba55r6dQVQYsmR2Cp4vc9vsL41olKE--QtQlRuFhSyKJUoCGZT-3bINAwZpZ-L6-MBkEpg_oTJCy4xhGowxXIwC6MuTvbdwTPdrHRLfJoK5PzrYTCwSQ/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://www.google.com/maps/place/?q=place_id:ChIJsaIBRlbxVDARkMlzkP7Gyd4
Urban Thai Massage - Central Samui,4.5,705,https://places.googleapis.com/v1/places/ChIJD6SvC5nxVDARQyPZDD5U-zQ/photos/AeeoHcJC2ecNLXP0mmwuzhVr5idNmF1lovJk5KH9KZxeBeWKSYNVUxlVqHIjZbku3lJ-hNynp8QThpzHokSOnYNuxqYYnjGzkDFWpXhytF5n7nU-TqaYg91WR0cfEYZOZ1f9Q9sf9lbPPI80ha5l3Np4wPzztaI2Wc5aCLUAeDOXRLmlGcNl07t0nfDg3j4hf700-N7d0o9YDcPhaIrvWCMUrPNkcvl9WZFFvYr24yGa5wfwFFk5iCdItXetgtRdFySVTWQtIKM5fK7KoV6jHAkuwLF2GZPjBlt77VvxtvUzuZdARkvDxjj31XRxvEODFDVNbhEHyGBmrpCwV-YdsYC5EKW6hLHk17vMNJSsgV64uq-OD25yBWPkQPj1XeEjaCok_KQJ0_kz7JTZ_dbDp9GZJUjxpN9xJUz3ALHGNeQaLOGZkkqU/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://places.googleapis.com/v1/places/ChIJD6SvC5nxVDARQyPZDD5U-zQ/photos/AeeoHcI9Z6onkNFjKkOUZoOhDQzy7G0P-GJXwFRnUCpenhw1l4gG-Tjhzb6Dnz5iRI_zLA1YUbPQfyFNbn3-WvI6mPxvC5Dd9kM4GlVEmWU4-6HX9qiHQrzxGtCnJR-FeQtEWzLkgsvB_u78QmncxoHdi7UVwo6d7tm1s_P7hF2ABMEqZ9rePxL7yp1Cco2NZu6hXPHqHc6g7Z2LJQYU44sdiCJwcJcfLbqcLbJZxUaJ-LwBpNk6tI_nzns166Asxwj0RFkw5eTIWaI_EXFp_mT_CbrgGwiXZH3WPmGV1pb7zT9lSnB8rX6kvLsXUyWj54inwO3sEbAilZr1ryuNE74xMrJC0dncDw8HELlQFZjzWufMPlhurNn1Un_j598vNSk5dG2m5YNDmtLhv7AfIbtkAti8CQme1D7hkauQB5yy73XOO-61/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://places.googleapis.com/v1/places/ChIJD6SvC5nxVDARQyPZDD5U-zQ/photos/AeeoHcIQwvqpWGJtTxSC5YtTYYB-yQL8wFbjwpkKQbKOSgB2UNhqtoT8yhD8_QOJ3gUvjiHmS0Xo2cC9rKJm46Ao7X-b2KuPHGSfG1SoWeH3bIETT1AqsSus8GKC6B9BfBDbinqYbW2GHvWrHTsu2YabuzyjDWDmfjbxEQH6E7TDjiglz6IyvLgpDqMobMgcS4F4aVZJk21XPjDssoaz4PaK8w80kEDIi7F9x2ZJZsMAvdE5MBBtH5TF9cp8vyGvGRiz8MjiGMXYx1_jtWqA4rM1tSlqZP3Ht9ev1hPTxVHVJzUq5aImW33cqBvyWICJScjJ3zFD9L5tt_zQM23Lx7hq5x3I0FJxTQJ2mxQa59FZnYbVg72NFB01w4GWw_37eDvZP8VQKwQt1NB4XnMCbt-SeHX3_EnIsU4Ynz0ULuEW86raEg/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://www.google.com/maps/place/?q=place_id:ChIJD6SvC5nxVDARQyPZDD5U-zQ
Bua Thong Health Massage,4.9,37,https://places.googleapis.com/v1/places/ChIJoYiYcgHxVDARdUpj-EW5Jv8/photos/AeeoHcIs2nN0u_AvSSOGv5UwQb7BTS4qMI7K-RyWjdhjoHVUolgrMBf56Tn96V9O2EZXZTlvs6XFxqq5xJJYFouNM-n0aellxhlb39oVOZjgk202Ksl1VfZl6IgJbfG0RwbW0Wd0IlFhdl6ih3fuAV21z7JjbRc21JYT1rCEMKqlUeMOmeeTGMG92JZV6eNI-Q1gzwcSuZN_zuQ6AFg9pU5DEXoKFPrjHkx0IYm0UE0X5_TS45Yqz9-HdL5va6fM5eIBxH5dJEY2Qje2tU4g8JzeqcmPloxk000xZTen7ds4-6Y5OgTiaKP374lp7KH-tpP2oOA9SPDnRbFIAOEg72-rRFqZAMzEYixP6nLXtFT2jjB3e4QbR_OomjRlAAll7mqi00Gife28WgqUJLoSKD5siTms4FPL6bdHcSAKnMz7xpu292Kc/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://places.googleapis.com/v1/places/ChIJoYiYcgHxVDARdUpj-EW5Jv8/photos/AeeoHcLoYmNBxPWgWLboLaZ-ixYg5Q3cknr2auwhrfvuPV7nXHzjLRHy3r2WbdIONS3lNNXZCgK86ZhUG2UvkODYcvr-oZIGLMlm7fpGuyj3Uf8bOAxyDBh72Hv4VO1k8UBq4jxLEWvfD7b3F4fQfggMj3hIMvf6tZRjdo98QW_rc0lJyRAG_IW5NJpkx8WGw1O1bAME2ZBvRt0XQhkGsHhiF4FCwXvgbFG1PEF4wfDlYb35-tbx5Rn9ep5_OKDQQZiOrI_gIM4peZb2nACyX8Ed64xr7g-Xyz8VeNMqX2yx3lpiNA/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://places.googleapis.com/v1/places/ChIJoYiYcgHxVDARdUpj-EW5Jv8/photos/AeeoHcKAtFKvRa3SGZD3MVEZqB5G_GVAQxsdLWVCg7_9qp7Uf38WNFVmmL1tycTQO3eJxGsEyVPwDrDDhYhFD7Q_CbRq6U1evVl58zEcNz5h0ekq2kjQ-6iBdOBYMTFqtxRa45S68kPjRYcsmTitIcr0HF_M-GITk4Pfi5dGEx9kQ4J8aI2-fTWjtDALAqjQkeQn4QOioJRGcslVortO3iHdgxO9Q5h4O5Sj9dm2I7g9IXwG7spk-DvaSOhbGI1BiUuVZh5HkLdbmlkaIXQ-9vm5q_7vOCNthD0Yi03VMZnLArOt3WgKKvIWrPXeofm97MOb17NMBEJXSbDmcrHwlzXlO5OuJkpbVl1Lb4iDz6UcaKYS8uRQeXL7qNqh2bZ6jickkfy6LjgSreeEVnsvl_g8uBfaWYxVXnfiIWMCWfk_VhFvHQ/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://www.google.com/maps/place/?q=place_id:ChIJoYiYcgHxVDARdUpj-EW5Jv8
Ning 's home massage,4.8,259,https://places.googleapis.com/v1/places/ChIJOTJb0uDxVDARh7ybAfh76ek/photos/AeeoHcIVhBjeNc7dcOhNOwB1mabxhCGlsiqvjRhj_tZccQ6CWJvKE7vaO9AjvAfRVfX2OLiaDKWLJsfylQffklSl6fhXgF8rFtdufOJiBqUDPqU4UivkXdXtVDxH-PWILNpPnE-mg_E80T5BZF85QkNCzXNIgHuW-q3hB7mhTg_E6fPrSlWdncyA5VY0Dc8CPkZ-givzrVbwSDue-l4NsPZpKPKF-XuHVnVvlx32_c7dyolO2OO3cTpldQyGJu7sSBxAvMo7pnrRRi14VeZITB3TS_Xv2zsVSOAXynnLKekk-JiPxA/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://places.googleapis.com/v1/places/ChIJOTJb0uDxVDARh7ybAfh76ek/photos/AeeoHcIBz1D81UPih9eDSlsEDAbZ20W0ms_wqn8k7EQOx1V8HXa6V-yF_FqKWCriuyeiw51M6eLUFBgudGFiJpbOhtRFbDpX9VZzRbGddomvfDL2Yn3p6GVJf44iWB_Akbu26hMYnZhqWbf1Ur8rGradGX4ADWce9azfpZnMYB1zM9ISYsQeUfySphInuEwlfyzvvHamQ3ZGeBm5iHHMeQfCxwidC_bnZHGys4TkjYGUhmJEkSs-AjwJeEwfQMln3dsHAxrW6RRvD-O9K4KtFWzieFTmuPZHaABs_N4AcIkHlUeXmQ/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://places.googleapis.com/v1/places/ChIJOTJb0uDxVDARh7ybAfh76ek/photos/AeeoHcJZ-Qcr8fpaB5ZT8VhYxXjtF3ju1Cr_WjCtSyvvXFblRy39FQPv2s3G2ydcAJ0rcTPXAbB-SjXnOKrPPLU122UPkFAg9f3vF96pEqNzD6eIa9UqLKRfoO7CP97y_BnwncBK_8WHG9AWE8HIxEti66FSNuEztPDJ43Ttp_JXoxaRp4GVjGoMM5JlUt2OM7vywFNXvCrHm7WYcIom7rqIDoL0Qtcks6s9u9lwOkqUhFwPOvOHGAKi6UyA06-pHnSW4KLnSZKGjilkFs41WXAr7nAwBCw6PjQ01NhSpxyk-XDt2g/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://www.google.com/maps/place/?q=place_id:ChIJOTJb0uDxVDARh7ybAfh76ek
Siam Beauty & Massage,5,176,https://places.googleapis.com/v1/places/ChIJwZYe9XDxVDARHVBtzn-fg38/photos/AeeoHcIZBwrUfzTQ-gzUo3iUe_EnS2iqWJSOCqwKd5sE0tD-5OgzU536h4uuf0Vna2msHdYLbhoYSgfIVpUx45u3PjXGmR6Q1ap6EL64MSmyDh_futPiXrM0I0gwvTSdcgHOMKvwQNtm6knvVH2ebIWSe3EF9tZDumRYhbQq6P9xxFcBLosko9KxFDC2mIEHVgaibpJ_ZNZ0Z_yFeHO99T5RQ0zsjINM6CXemzqD1nPYEKWfzMnNzkU9MqfZ4H_nsCfBbitgiBVxP9XXqkgdvvE4QihJO2KR1h5GwEBqkL_0mxoAhg/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://places.googleapis.com/v1/places/ChIJwZYe9XDxVDARHVBtzn-fg38/photos/AeeoHcIlolDA5zd31cnSz390h-2yzGKh4n1iEMBLwr9IpB6rAFIa3PnmtbwIf0zRO238vu31Vr4AwyazUS5sGNMJmNAMRrVWEma7R_MyGxLiXRuTcU8Ut4JdOdcI9u1rZ6o-JAyLfCksCxUZL-qDotSfhtPvnumXoM_vJhOOzSs0QB28DP7vhkk5O66hXBT0FQsjid5V87a5SPIJKEdnqyasWt9qZtMjPRLgc0Do7WVmiEteUBg1iUPDSSVdDAveUNBPC0TaSUet0TgbSnSqhkqzwEiP_SHRWb8QYIgy5y8ViGbOLA/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://places.googleapis.com/v1/places/ChIJwZYe9XDxVDARHVBtzn-fg38/photos/AeeoHcJpCgIXJNOg4goOlXvXwdFKg9dsBu1zQnoBF2jrKzklbAxHTB9zZVD6wUEfW3swtcR7fo4PwXHauQwfZSwKiN2boSjsfwtax7GtcTlbhI60iZejAs3OLcgNExelSHOlL-Ai98PPuLZEvzIXj2VRfS1HpiFyvwtPfJsQ-8GzDBW2h93mn_bJixr34V9I_I75nz0fq8p6sRGgAMLE15yRvrViPKzSkGg1LpDIy_RYBkZETREJ7s56QdI27qzICexLQDVdN9fsfRZ4OD7xPVT_Kp_JljgNb3yzbJuPHoYQTmuXtg/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://www.google.com/maps/place/?q=place_id:ChIJwZYe9XDxVDARHVBtzn-fg38
Relax Spa 2,4.8,121,https://places.googleapis.com/v1/places/ChIJ_xNXLN_xVDAR4JGULxKWNRM/photos/AeeoHcI0OUWv35lYtrGeZoVWq2LCB73HhkZeqoebZPzk50gPJtQikqSBhzzXJo8Z3i5GcLEscWRSeBVzxnS1adR_Awx4pbTQoQomOhuJDuOPFAFmYT_tu5QOyIq7SG3NW53JeOHBw9p-aCv1yRD4LGkXHRWfPzpv_wki1YlgMQfvUqi9wTQgRf3fVWnAnMN7iY-oAX8T_j1hgyDTTrGf4xg_55kevooW7U_IRg7kscgDGr_QLIHgG1mCT8jk-YXcm97HaMBJKNR4DWBYS-rb_ebHicwecZhSEg8CUjLKg3a85izxwg/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://places.googleapis.com/v1/places/ChIJ_xNXLN_xVDAR4JGULxKWNRM/photos/AeeoHcJlywDfkJNbCAw1J3HnX8hRyO1c8c1Us3fp7UCdqO7Wd6S7ihqs8oLYC3reoHm-Q-G_jSjLTvP1tkKC-p2Nq5Gi1DSuq_L8s550g82YhzY1V9wKCEsWHyGUNslzIJKcZ6Ez0QtDcc3Qwi1_Xg7hb2g7v7o1fjJq_mnJDH6W5ZkZkb7vyNOAm8q9TwlNoeDfjJblZ5BbOwap5x4lPo_r678QK9jK6kGp7XDPffT5RpDPimX7zyXGZog3ustLySYXefGdTHvuTMamae0c2PpEiVPDDCN4VGsL-ZT_jvopGbEerNVlLIKhiG77eZiplR4tFCRtKMCMvL6uhEEo2WqRPi-SISaCAFXGcucrDyCnXWAIGmBOkrpeI3o1COAEYPjQiYNOJHDhzvnhN7LhrajIqhiQLwrlRBvnNXUIoq0xgRtPDG8/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://places.googleapis.com/v1/places/ChIJ_xNXLN_xVDAR4JGULxKWNRM/photos/AeeoHcJJzMkLJQa1h72ioqv7LmDkIhaDCMjE2HMPUkn_YK1JrQ1zOJ0Nf2X5HHVXK31-nuNZsHgOLjviFzIgcZkowa2_O8WWLiZZlrR2fbnI1R4b5ZOfr8JTCnZg_s6l-f3wjKcZL95ZcmPhbZUUYU2hquHy_anGI-WU47GyZEmvIiOjinHZkTb_XrC6pdwcYvQYilG2IcWbfzN6jO1wKY_6E5lUMRvlq25zm9Erk_d24MZF0Fq3y6h2CbWbBG4ZwhOCcf4iDSN24mkywaVxwmeFfIPQ81dVggPnt9gieSI58mqVkQ/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://www.google.com/maps/place/?q=place_id:ChIJ_xNXLN_xVDAR4JGULxKWNRM
PhoThai Traditional Thai Massage - Chaweng,5,89,https://places.googleapis.com/v1/places/ChIJSdR6RffxVDARkNvhuq2JeSg/photos/AeeoHcIizSZIJDoqxHdRUvK2Lrrm2W43RENpLhVm59cOHj7J5ulNwFWZoC4IuS8mi_R8rmMKZNFSZUKbRxrmtNJZbzuq5_GksCTQdOviwzD3D-91dYF-WJ3BvtpoiFPjtST7PFM07ZDWHHPN_lcJXKFGnT1XBlO9TfJ-BpfauF0WLffvhc4YFwLUYZdJT_ZJri1xMpbjtx7j_oH0LWWrASI2obvgHDwKDmEbFw3Hw3KxnuEdehEnSGHMg_1FCpbszLl3XJmDSJWy0GpW7OKM77S2FBO6kfpY9NpGzbpBC5xT7L6LQQ/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://places.googleapis.com/v1/places/ChIJSdR6RffxVDARkNvhuq2JeSg/photos/AeeoHcKcs8R4rJGhi-MWWw4m_Cr9UO0NuHGiv5cjaKdJsu4EXUgeV-umPNILTBqom06Y190PnJYs0TpiCLs8rEgY5gD552-6ud1X38wr05sE7tm5TXXJSZHhUqDqYdyJPOuYec0rub1SNcPs5cVIXxDZsAZkCKJBOYJlFXFuRsZHOpLpujSOwn0Xbr8xlfaEQrQFZYMaRGp2JOq8FzzyG7g-ToiPk7FTyKaZ_fz_qNHGbcmW1j6AnCcaCCG_Q3KhY1szh_-e0nvdGBm-zNm_a9UWzIefBobmoKePeZm7kyWmPI9IkA/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://places.googleapis.com/v1/places/ChIJSdR6RffxVDARkNvhuq2JeSg/photos/AeeoHcLJLmavc1No6ekWRsDMt99F5uyCfIPyXrbZR5-45nB683ijs3_n9rdXLIxFycEsmZXOfzKxxYlEWft6DRGnUMiKyPBuCkoWXe2IyPeUBt1GYLinplkQU0Jxcpx70OjbsEPSUjRHpKBWpsUhpjpBgsC0qtg-uwRcPXpUdWj-FOjUihfqTOjOjF78fi5SCqFq3ywCxXiO3fceBlkeo9CoheL4BFl1VyhBatzeMbo8A6HO6mZ28ObQR11B7e-mXf24BQ7D2omuELWzLbK6FZdt87-6Jh-jyHyYZcuS-szLYSwDWg/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://www.google.com/maps/place/?q=place_id:ChIJSdR6RffxVDARkNvhuq2JeSg
