Name,Rating,Total Reviews,Photo URL 1,Photo URL 2,Photo URL 3,Google Maps Link
Chiangmai Foot Massage,4.4,339,https://places.googleapis.com/v1/places/ChIJmYdGPJk62jARobFVm-vwiv0/photos/AeeoHcJ2uL5TZZrDkCySgxVE3Hm2KAQ_-zw5YE8bHyI8EGhfH1D-8ul42pYkwC19WJs9pKKZXAo8EyUTckX2ABtaM7hiwCIlgD1W51hs8EAyOcqD6PW6XU0IyLH5kpdxNmJ5RS2p1rzMSG2yYn_q4g0ZqmiWRAkBQc51DQQ9kiyw40PfE8y4cbbOtSEdZfylAZ9LXm40-96_Ke-tyEma-9nV6qtqVWUFn5Xr8jdB8nqgT4c4PLLQNGx-2TStOTCtt-tAJ20rjlv5L27JJPUuTr3T2dEu3XyFNyFJM9hcJSnO7GAihw/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://places.googleapis.com/v1/places/ChIJmYdGPJk62jARobFVm-vwiv0/photos/AeeoHcK6yU7CpxwNFkWldeVfgmaj0SikSU-Xy7dQ9zEsfZqYRnTXLw3UiRAzI7MNuRGENpcoq_uRRRgl79G3KmM89ETmL7YoHWHJznQDJYdy-G-s9zvw0_nvVGbK6xhG9xmUKLl1W9xhGiL1LSIBUfxpJuEvMARSH1H8j-EGOhv9dhWKizLpuNkK4Az02iauG-zHXC5X0Ut-sncE3qhnYAIesvZqYQ6nEH5kxLNLF0sMuOocaUXzeGybs6C0BtTHqfvOOOLfhuGjE5rg4VOye-4VKldY9X9SQlehqcOy2Fjh2-Zgag/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://places.googleapis.com/v1/places/ChIJmYdGPJk62jARobFVm-vwiv0/photos/AeeoHcIE6q7OSPK8HiWVJTrNHhmqliZpHFLt_i3OonLsW1DarCNm_P7BlROo9Hwvncmi4Nt8bRNd2tZK52S0FNzAqiBp8UG10x94gGvjQr0W1S-HtQU9Kc3Wi0QI26-PEg48Wg_HSSt1LBdbW1tOolRtLQ-L_LbAZiAJRGVZZG7wn7ctf7yu58X28oSnh6DkevSVrxTY5BrrEYd6H-JA6-1s7jFwQVfZPd4CpR_4rewvzLnMeOA48xjpG3z6Fx0nuxfWqKp6qvQM2Dz2n63iBhY6fzDpgeHnDguVg3mRiMJQeucO_15YSF4fD-PJxrIk4KlGkJOFemLsRfSuHH5klziuLdInWTWttk6OptIBnMsH_o0NO4DwWCIZpwioo67gRymSieA1Dnzafqqqg8aWAYLQu4l83Nb9Nc769H4bqYj3AHQI0w/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://www.google.com/maps/place/?q=place_id:ChIJmYdGPJk62jARobFVm-vwiv0
OM Hair Spa & Massage,4.9,208,https://places.googleapis.com/v1/places/ChIJ8eaeCEg72jAR7520eL41wLw/photos/AeeoHcIwqUJpXpFLeKtH2ISx5jFL8vJfeXRofgr8J3Trhy-e5sdEPxB6GwDUJY_n2gzwMFu-LMqQY17qJIRcxMNtfnCoEErpY-VG3PR7jrEAoUd3I0FjcbJmSqj99SQn5ZkRqc7SOk2KNfkoLiEh4kapSth56ORd1CV9lEGzVBBz8Eb6HxDorR9SmkFRa7ukGGRFBYqUvRcQDd7X1WEP_xELOxwkV4SMaMq1Zwjz5XGUOlRQ8breK8HmfKV-vib3DkqqEI_0k1KxoVGQgabEM42iEETVgfKEi-XSAvbrI098uZNeaQ/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://places.googleapis.com/v1/places/ChIJ8eaeCEg72jAR7520eL41wLw/photos/AeeoHcKibHBmdcKwZPDzgNDTAAIW2w2k3B1zV2yvJqIZDYeQpJX1UtugRd2NphVr9_vL-gsRrQx8EBOI4HKXoOjyMOxndpqdDOYGA5NP65sYXLimMASEmTFIKUs9fsD0u-K5TuFLo9xM7d66gVbLy345QBRBxQ7Utm4YtifJ5HOzm24xvPBfzcdEMFkZtevyIEi3M6pG06c3r0rOT90vt65nsx7uAryNaP3L0H_7h6gu1sQhcQ0tDlNIBoxp-IgHUSw3BdB3Gvu1QUD0UzQBDQsZ5hXi7sO3PucdTl8Q8ayiCZUc0ZMjsgKtaUL8dDjcg0oXfDVFw_xfYnE7mR1-1xr7qE0vvI4iVd5kQa57cWZPsZRkcKmYIkXuPhvHW-Fg27TjupBLGEJ-p1ak8xBlek3x_mz4U7XOKKkiTZYvQpZtpHbbow/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://places.googleapis.com/v1/places/ChIJ8eaeCEg72jAR7520eL41wLw/photos/AeeoHcLYTTT4hz1zKd4JglgSD2fQSM3tJSvpqzRPEpGAvelk6ZIlLCygsZLTR8O7T6KoKqzMSUTwFcP-wcbL7T67Qy-SmympGEs6ynRKC5K5QE4NLAhUY859Uehl1k9qcR7GR4TFAwfJ5nYmJNH_cEVen4_fbuL4zxUocCGKE_AMkjx-ECIRLe99EHz5IgZeFjLjERZZ6mDjMtd1vB9up3hrgzKTXYomkMmLbeTtAC9JpKjX3glE3MjqwaEYERM182ZQ903Gpqw6rwK9k69kSMjM_f464NECJR899IYlcnjUH9AJUg/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://www.google.com/maps/place/?q=place_id:ChIJ8eaeCEg72jAR7520eL41wLw
ChabaPrai Massage,4.8,1228,https://places.googleapis.com/v1/places/ChIJpxnqX5862jARnxPK28S5KnE/photos/AeeoHcKI-3U0n_qs9CJzW-yyRGILDJV_W6d-S3VsUAzCQ81L8MbPrcapbAEx5_n95W0FO_UxSxhT2_7ajqpCtOuONA2DckK_EH5hPfHfjtIr8nSJzt7rRYrd5ymzlYYFyB5Jn5r1aKsDuYE7fUakY4Mak0l_iKcAwxaniyVBBsdgl1_0vHeDD8WQ_jv1SE5jCXMX9_bEQKgAR23C4DKx7KYIv24pmMXu-4RDJd0BDVIAwbnXKSO0D9uojh1P4Zl9efQk6VIvnHby7dwKQafxc7hIh3WYcSTzTli8NqHKqRuKhhrVQg/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://places.googleapis.com/v1/places/ChIJpxnqX5862jARnxPK28S5KnE/photos/AeeoHcKZHYYqHh5G6R5IyX0ETLc_YDJGWFOH9Na4nzvWlYVO4CYTJ8ULzOXaxYMayc2OZ0EOkUZzumU0-X-lYbuntsaKmXpvKa-QjjL9ABNx7Cpoha4X6LnmTD9VZmya-m5GUaKzu-dt9Y0QISzTYuwv-3VcvhfyoT3aidlKDNJfg_rCmKdxF9u4brDT2np8lf_YiLuo901CYT2QDSwLdZSreTmG-QUDDDRLtde8zW4bGo3lKwan2ULsploPbYl25QTn5CQ3OR-N3QiABC2umOFnvvPTvh9v5loSL83j5WafiAwdeA/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://places.googleapis.com/v1/places/ChIJpxnqX5862jARnxPK28S5KnE/photos/AeeoHcI3o6kvdJ_LJLn6su_UvgpGKzcw4UTV7d7AsQKq8AoQxA0H_LHKiBMYdtmwT08oeHn_huO-r0Fv4ZyxyeSgIOhgG4Ea_myaL865omViFunFOHSco4M79NsO9JNI9pIVIk12c9e3VlMK3K-MeOX__5DXrLv4BggFuSnRxeh0yIYVX3hpEFwkCfgJFcoU3vAWHD3t3fpvwXYTVRja6WnJf7NYfthgayN8uoUn8dhqbgh1NHz0O5hrVtkzOwUs8c_fadGdkQxbPVcw1pmWtUe_JpwlUHRpkCuGh1mEVjIG7GeYNZjPpEawF-9sXpbCB7xSprh70FPGxExz_TgF_e1Qoh_vfCASN1zTk50e1hPxrxOUY5aEdbVrNekyyIUjyq3whOY0PmT89ssmt_JFPAgoy6zjn21ajDf_gbZ8hiLYano-mw/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://www.google.com/maps/place/?q=place_id:ChIJpxnqX5862jARnxPK28S5KnE
Devi Massage,4.8,194,https://places.googleapis.com/v1/places/ChIJoTu9x6k72jARouuWnxM1y7c/photos/AeeoHcJJ7nB9CGIobk2WEyY7POWRJfhVpsG-677PczIwa-MSVjJcvaJHLkqCv7bG1J-BfwewZ8SlcUUnMzYLUcI5psaC6rD4n9Qjk0NvQf2Zhuq4HUexMKrNwFrK6TayCVRwRJXyjiL-eQoWQ7THCA0erEieL4wNgy4oSiBvwQGKgleD3WZvGQGAM-gZ2cZLyhKBQvXap2JhCHpFf7UwigJ6Xi4XXDDAB0SrhmD8pVsIz9O3xBohni6QCxT6w1xVe_LAOWwJ6UC51iODbS6MFewiwtxyanpBGYoXTgQXI6alIb7t-Q/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://places.googleapis.com/v1/places/ChIJoTu9x6k72jARouuWnxM1y7c/photos/AeeoHcKj9N3LL6A_azXNcYaTTTPNlY-x4WgmOrEdKh4EMhwoxSVW56wBzQKICVry44HbRM3irG6Z6LyoYZUvhJPHNlpBtzdkvNMhBEZ313ct-qXIKuos3n9a_M2HgsuBpyfkLi8Ydf2mcTtsaswq-7zdxHHfShBO6bqDv2bt0YSNYJANPyZhcxnAnJ7eBKktg3G7yNLvsahHy8UJV30sTFrc-iIIwzgFxnEwtrq9tAl6ILvT6cWz0MdGmiCBYxSW2MJ_NACCRA_TvMsKMkElAhG7eYrOkRkXRGsudLDxxLTcjl9NDuV8ySBxju-C7oGgny-DTD1sz293mVq6e8Tp017G6SLeUKTBFKAx4ecaMLFWmknb3Sk0frObMNPRH_L8wbymqbk7yjsJ4HMtK77Q0uaINVBU_SJeYVKE9qiGiTFCLfysDQ/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://places.googleapis.com/v1/places/ChIJoTu9x6k72jARouuWnxM1y7c/photos/AeeoHcK2XjkUIrtNzeMtdEC-pI4ieFxL02lPWMtUF1fEOr9Rn1LBqhKtDV9VkmbjnmBb3e_NfikkXjukXs-HV_YPycrDEuPes50Nnp-mx5osvngElVg4t3L7i3oWeubRqq7J3pCpgYDJXpE1FdqQTgYXzcVaZjbOYpAw8FcAAym6a-MFw0Rlks-s1eeUH_nbfsHmiT_IoHvyhNgExTR_3idi6otPBF5asJcZqHK5QSB-echdkKgRYFQEN1RHpXBxfG6mYLHTEgPdnNsBMgvekHp1B-aoEYRRldVhM1JGEHsS0f2A2-URXavWanYnlBhVnwvy8H7X5uxoYI3bo-zudt08lIN7ijKm72nh7hIB_hvUpskXGqwsxLt82VGN3MRwLw29putBbzL1RpAFfuJliBioA9KKs_F0qOJORVQtlXGVZ5p9Cg/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://www.google.com/maps/place/?q=place_id:ChIJoTu9x6k72jARouuWnxM1y7c
Ravishing Massage,4.4,109,https://places.googleapis.com/v1/places/ChIJO0nLDmk72jARkS0uUlOcAB0/photos/AeeoHcLrWIaOPtHDtJwyAJZzfPl3dlVT-8aysxuN2Vq8Ufi3Oby4PMHsoob6z3kRMZc-aKxQ64SW23Oy39nta0rpYpTEQrysAG_4IScvTvSRLXnMUnkMr9eBfZmHlC_6uTvg3ALg4T8GP1upITZ9zuV9pLa_-LUB3y7WA5t1B4GZtgHcwPzI6AH52yf3QY--8nsJnRWkSEvHT0dU0b9UpXSBfAIhRIe4HDezoffSj0FrzWoXAH6_Xtee6og03VLd5vQVCRKFyrhJ6NxstsJktVtTggY4u63_9eVG_nkHGGiN2CRIQPHrFTles_xnOfMhiW9qZLJXIsQykiclQwg-J_LE_XH_OQfiWGSqOOirf3ZUMeYTKpaWd7JzEKVb1JrfICbn7ZkH9SOABlb-WKqBGAq50GMeCxNoMLSeubuzURwxN08rcTRr/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://places.googleapis.com/v1/places/ChIJO0nLDmk72jARkS0uUlOcAB0/photos/AeeoHcL-4SOwiPBm8YiayFonXMeI-Nd-H8oANUgz8id6JJU1NQ6WkcplN_CMG_psFQ2ngdCHKnjvbhZqNd2-RBqSkvAJkdbbjCPFT6VZZnwVSDMIHdbuSvgKhTPa8xoE6hYRPYDlbw4RFuPd9XOP-wW-EGiJiGn_GXIUA_0hOdYzCh4FOLmCRvN0nUKn-Fdf86-9st_Z_28P5wfJ4XnQ3s_jBevAb9QZYO89z-nX-haZqH_OdqjkHlSIFLTwAPZk-Aaj6sITxCprPGU5TLOCIfpYw_yDiax49YS2Zk8Ef6lroYbV8dUbqDPXDjdWjGVvmldDRG-i_BraBDo-daD_XIcsbHB7PR39rb_aBVdmx1wJeyUElHjjM3230jpp91UrqsX1KAHEaEdBM8-75LuwVx4J41SNp8ek9T2wlnNaW7vfe8g/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://places.googleapis.com/v1/places/ChIJO0nLDmk72jARkS0uUlOcAB0/photos/AeeoHcKAel-eqwf5wtNAkrkrpcouapPY4jzRyMeM6mgZK43EY4M101IjeR_dAMr6db382isaCauElYKiUjrBsq4cKX93Ds8bVpcqIBqmiiGYVR1wfB82ma_uYCEDYJT9IXxtEHS_EP2aScdaZV-zvy6qz0bvUsRDqOqlRqBSPzIfBk2bOipThDAmmi3zU4bwJzZhgy7IL7v_ld1BC0QrSRjToqv1X2B-3p1kbGnmCoJtNC7Fq7poTp1x0sxamDUa08GJASZ3Trv9XY1iyU9EmehsNeToylHbTudeC_6ABfwZCOTYfzrrI7SdPMWErXxlNP05aFhLd4Q9MESVWlPN2aVQIhODXAw6t8gOeCo6c5usxkTpvZvgBdxnz4utO5rUtCle5SaUNZcYPrU6LESWnsh0FHIz9ZVQu8yutCh8rsrfgLohxA/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://www.google.com/maps/place/?q=place_id:ChIJO0nLDmk72jARkS0uUlOcAB0
Tuang thong massage for health,5,46,https://places.googleapis.com/v1/places/ChIJPzVPR3872jARy7ZUE-4Oq-w/photos/AeeoHcKFjfGq3FmGznaeGt403J8e9xsSpjY9d8qzK0IkzaSeCXHh9MLmTgYMev9CMh3vSRSfKFEFZLN6Joengm4eQrrmdI-6X6CFLEywRnD9luEWQvunCdoVvAKBkz2hS6gw28WnKvnE-JzRERKGB8JThlhDILwpBQarU1SdF43XEqCXCEfSkHM-zx5YmBwfpPRaB7Kxb_PeyxIHyEc4m-1BY24YbWrNJo9O9JA9npQrbQROaqOAFE_oZCuDZ6vCy1KcQMj1yGEoaRCDyVadnkgTTBuBlRiAjb_bRjfWSuO-IUDd6Q/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://places.googleapis.com/v1/places/ChIJPzVPR3872jARy7ZUE-4Oq-w/photos/AeeoHcKf19L_Lh4cEVxnLfPZjTAOqK37byjL7dNlyoN5hPwUDjM1ijOrmsN5X1C5SDQXbUD00nhfYqfFCl4Zv9q3v6jMYnJ4zpHHyl_enaklDr9KkvN5ZxP0Lm_ZB7a-MVCq3pSGF8_M-cgbSrA11nPMVJ8S6_GhSwo5EMvuHSQT_rJSk0qhbNtW2-7HwFRkgT5ogCbCOIRD530wdg8KpM9Qu1kZc-JriP_shyaMKazYVlCe6LZaCnVnkwSnpeh9gg_Ei7W7Os46qAuSPA_oyDmhSGISeMoNGo9PTARFZRwAr3e-nA/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://places.googleapis.com/v1/places/ChIJPzVPR3872jARy7ZUE-4Oq-w/photos/AeeoHcKiacA67WDDtt-DlZ5qvd0E0qY-i2p0xQERGvSp--MAe1E_b2ZZJIcbKp7GoxolWAA7hgtqex61AAq5XW4XyVqqkwB1a3Uz7KuqekB-3ijKECptJMuJIdBdVOUykbiTa1SCfxOzRRt7jxw-cgWr8ZM1d2yjGKo-I5PuvVUW15LN2mOOJKnveU8LGRL1PZy93PsPNO-_jx1Goupxw4PnYVURXh6YlgZIbHqf34snkbSaftKcrAw2iu4lLRjUkKyXpD7BBa7hrLmOWl8_dzXoutuOrtzJeagWp1Aut53cwpTSJA/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://www.google.com/maps/place/?q=place_id:ChIJPzVPR3872jARy7ZUE-4Oq-w
Calm Massage and Spa at Fern Forest,4.7,995,https://places.googleapis.com/v1/places/ChIJv0lheZA62jARFBWf0Vo145M/photos/AeeoHcLEAnTzePHW-PEfKZuxb4zk8co80PQmo_AanRq3tuvciL7_9U7ZEocKUajc_z8jfuwBmofs3-3ZUvju48RQwu2SmstU1YaXmq9du7u_CAnDpsA38gc2gm1mwS4eUzBkfLMRILt367urHQqbF394Uau3uGqKaLIBlIPb2Ul9SwJcx4tkOyQastdBauWDkhxHxDXX1b2d7Vtfq2pN2eHXDhtwyUunYqrdsXMRdZr-11RmAYpKb0gw14UqAyUgiIliz8zvKGD_NmWUZoyZT5SM9DBYkmDg1nHrD1ZYORwsmHBh8Q/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://places.googleapis.com/v1/places/ChIJv0lheZA62jARFBWf0Vo145M/photos/AeeoHcKJVn_YB4a7qboaqhYCRkNQz7fvk2k1FGzKIY6wuO0CCRAGAq2ymOU7n-uK_WI_ytCihrWEdsAnqEeFPVCiyfK_n3cndep9vuguwePz2sU1Tp1-n4Pi2OjENHle_RkSKWZUBWG4ofg0X2uk7ZOLM9k0EVIEZxNVf_0rL4uc_PXarKgzf6vE13-37ZrjWlnKIs5oAaR8n4Buzthx7xPg0vaqRJSb1XX1GmsCGj2xYFl9z5EQ0qrZKzFOc4yZ-yLWZht9hTrBFBDtyxwt4igBX4fCvPH7Pr1llXNjsN_jeUERq9cwzBgtk9b_t7iLE5WnO9A7XOrA3asddcq5YktH31RUdIDMHhwy8DPsNlFU_AZF8eTNawwC9yGLBCkVxu0XR-mX9iXlT3PWGqQOmamjyBFANGWS0YvELUlPjD5x8c_GcEXY/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://places.googleapis.com/v1/places/ChIJv0lheZA62jARFBWf0Vo145M/photos/AeeoHcIMgJzv-6cGlf8eRtIrqDkzfEQYGIjQATQgGLlPwNapB0zewNUDj6OZ4DP0TTKGeTYad8CoqI-e5SeHNy38pb0eY94AEgD3Q61kUHWObGeW7WBctsp43fNr10Oe4qql6gczRZVnUBWFdf-BDFpIfXsGrtZAkeUWHD3iTlTzvRFCcly2GgLVCm0LCE3bhOipkYOtp3ZZDSMn3W7x9TKMvfjR5rWuIL0P3P1CGTlkGdroknCUaw_mbqRLA2rHOnaFD-dZ88nKVEtI9VhYGkNorV6VhxBcSMogVfyfAihue2daqLKlO_Ec_dqPfuieWERrVfxonaeAD_oyjGw-ykViJ7jwPUNUi5K-bqtDXmsbWu0WA-aZFxkczwFodKlpSAWNtcJdkEcfSMVgLKlLukuUJmhVZr9doyAyGTtlkDSew-y5foZV/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://www.google.com/maps/place/?q=place_id:ChIJv0lheZA62jARFBWf0Vo145M
Zen Sense Health Spa,4.8,403,https://places.googleapis.com/v1/places/ChIJdZ7h4ns72jAR_2mhcIWZ1go/photos/AeeoHcI85oIOImjjOumsRsylvQuOVCH46jTtVDHcHijI4ES88oq3fRPxicOMo0GPYe7r8shl_YMEVClpfGwgkv8tYNGIEOir15TVlYTNambqMxDvk8P0M6O-_VEGZZAwH3flvh2ODTYqLCf3aH9ghlBrwBjtxJJ910UO6FLxAlQhfvfZfFdVN73EY3z2kPQwNmUAAraA-Y1trziXNeplwwQvK2kU7eEbsFSP6lonUEBN_yNgd_ORWNQXhtrsnbGp-VV40zys2I-KP5uZ3dA1kC6GB7N_6g9e4fO5FoU6h0C8s1C5aQ/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://places.googleapis.com/v1/places/ChIJdZ7h4ns72jAR_2mhcIWZ1go/photos/AeeoHcIefjbtW1rky942iCkSRG7OpGTYGxaq07hcMlfKgpDCFWLLAUIOERGlJc14l1HfY2nF3T-HO2ssu4AUEHuttaJMoWZM49E-iX4j_0E7t84t7uQemTncA6-VJpNrzwzzhzBSvgQ6_L-SxejV_mU1c9o76g_omYUVcTigXQd0JpkvGUd0A9vUM4lnrIR2bwdkWjjZIi-kEXkmjj4EGJ-irK7Fuwxvarpuyxgfj_uGKrDHQWXRNuEfT6cduuSCO-41zfs64G2EP4-cTt5Y4DCyPdo98We38Hy-oCdCiYqxyHs4oQ/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://places.googleapis.com/v1/places/ChIJdZ7h4ns72jAR_2mhcIWZ1go/photos/AeeoHcLYFvopwSgeZa02w4D2zYScXQrV4_NrsrmlkUXyTt2x9UQ8Loa_9sTSgz1eD9fQveGUEpBGeY69k84fkRvgRxj_9ReJAyzhhkBWqmrMVvR_x7bhHXZpLgO31whxrNBCQQM0yslYwC8n4cKKsJEe0mkZn7KOKD8QO-ZMElqP4k02gDOZpucIMbLYaTSBJ5hz3yEiYd6Vpjtg7bas0tCeCai-IALiDHa91MwByJXD0tMOUfaPNGorViO-1rNmHR8xNK056la0ybWFqUsPSgy704s9e3zO3tfdYjYq3ryCEPzLG31rqIo8WTlrfx11aOi8xDzSZrdi9jITpJJPISWvP8h3EggKrD84YgGuI0PVFjk4xNiaIL3n4ugm7r-6gSYOfQzOWAczX8EOGi3UTte51dBD6I2Wy4NCMQlF-vnLksL0VQ/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://www.google.com/maps/place/?q=place_id:ChIJdZ7h4ns72jAR_2mhcIWZ1go
Montra thai massage,4.7,279,https://places.googleapis.com/v1/places/ChIJK3_Vl4k72jAR6VIEEm9HUSU/photos/AeeoHcLWV0BKOerOoLzJbrm2SjwvFfykIOLSMP5UgXl5l3zGf0wsiMTB9OEY_tC-Q-wyS3KhucLWtAVR98D-iee991gFsE1DdR5vVdW6q9dfaYGY08BUiW7Tnw5pO92LH1vR8Hn3z5ynwxl9WCdvT5dirZ-BNhVst0W6Qeto2qpqOTRpin-CPSJX5DCkWaSZrAUlj0HPIJ3ccJmWyRd97EwS8c9Xym9_yCchw1olWBN-VsCBzLtoUaSx4yUGVnraa-ComkeGUyWNQCLwXRTpBylYQbwh5OElE0pmkOHLPP16IqK_hA/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://places.googleapis.com/v1/places/ChIJK3_Vl4k72jAR6VIEEm9HUSU/photos/AeeoHcKxTs_8CES5XisbfPjq4GBm3RjeWDrneholS9cPsANSPaieOHUEvq7jzknTHoe4NhqLcmoR4fFY8x3e_e0c-Mc1xLX_YdVp2mNJqYcktgL8WsZJpgSAFIZXyYazc_EUnodSgtRmYBwIf1THJLbCU67eP6asmA7w69qlxAM_EkV9NLz4YzY5pn8P6CBWxKnpIUyrPic2C-5RxdAeIb6MlbOYj8Im031fuXc-nAjug9IHZz7xK6UhNVDoplO2tq_a_e5AeKJ8tB4hWqdnIHzuosKMtRypQf5Qv2Z9lAHOW5gU0A/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://places.googleapis.com/v1/places/ChIJK3_Vl4k72jAR6VIEEm9HUSU/photos/AeeoHcIb5rG12HxPQW5grJ7Hqai8EkE0Tq3n6iwSXaQDJFJKMCjT88HmwfxwFSpowbi7E_1I-3QAajWDl5jzOs2LtK80-V8UeaIWXjU7VKDZaHegnmpbcDtQPcW2ZFy2WKIf0nlRK2HkyzgEd_E7K95eiz2vgRHB1bHdEJ3vsKOsET9wY0gRzjKi5coFNMDb2OiNamuradNhYZ-1Q7L8N11bfYkFVF__h4RDcdG7MRNwvKF-D1wg6w9wWH9mC83y3IyOtSCYdQhVOgCl-9158UODiHGNx64Pi0bdz235ObzkZmYisg/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://www.google.com/maps/place/?q=place_id:ChIJK3_Vl4k72jAR6VIEEm9HUSU
Chiangmai Foot Massage Branch 2,4.7,89,https://places.googleapis.com/v1/places/ChIJQTGV2MA72jARnuiVpJtxUgw/photos/AeeoHcKtg6JjQA_bWr0z36Y3dZh58oquyZRiDwvNWQ2eow8YU_qGcM5MHcn4BqmyAWREjm7-MSfFEj6sAck7sGLWkyDzQkOHoxegfCq7iPwk78y07gdRkfzoIJinjFm7bkW0BryXFvS66gS1OTtzaxhNsLW7gjRt9QA7sQd5DJbIDjj8L2zculSPqVxvEgyFSEiPiqy-y7hLR5Itbbh6Xuqv7rn4-UX_O5_GnVtnNObgZ3Dntb6uKzyEudyQKmywpmWM9zn77mvPp7kd4o0SN5FVJX_8yMKQSlkYxNRcV5LW8Re-cA/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://places.googleapis.com/v1/places/ChIJQTGV2MA72jARnuiVpJtxUgw/photos/AeeoHcKXrd31xe3HmjF7f0yflw26LAMcHpyLjHyElffrEHRVYMA8vMweF9Bdkd3EB_4Po_ATS2XLWmra24guz2hRPPAmpi4C9vpE2tJfbqwX13YXjZEcTgQJhnAgI7sO6EbjXCZHK2iVgNdagOAqsXZSt1LjgUfBS027GdZFjlSJUptfNUm0niuCHMix8_i0sOy74BzVgkhtqFRbae12xfvK2MdrLzqHtb8HhB1wrD6Ns0AGzUjtHozDZQaF-tcpZPFAba_nIta1F__-MUSXaOSORcLs_fSVwKzYvtmeHBVm0gxEjA/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://places.googleapis.com/v1/places/ChIJQTGV2MA72jARnuiVpJtxUgw/photos/AeeoHcJvYuBocYM0bNqrCI10zaqOIrbk3x1UY0_ZvSCIpt1y9NrFw3dhAI2f28ro0ljwMWLon2FbprmOPrU4H--XzQrUNyHAgZM_Kdwu1Ra23xlF_m4AFblRrJdbU8ekRRBj6Lkih_POPUdIQDkv-oRR8vieewynwOPnNUeyuyPkDDG-majFlmt52o0iJsUyC7rJl9Bz3h7h7RQA5ZPLo3fiKMoxV4XJ3nMHJm-rjXNIOy0GeNnHWV1xy7rm0nIBUiccKGNVpVilmaTFpYSKQSA2Wda99jDUbm5g8gSqoGd5XEMyPwpDK2lCQO2j2QE4BuQzdP8e95Ro8QVdHdGNCO5B6MxFhLUJwJClv8KJLAvyxln2G_oWtsMU_fjBPgV-O_nnxmksfRV5HM-vzu5hBap6iP9xvt8X1w6Z9XDq36ZTGbJJps2f/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://www.google.com/maps/place/?q=place_id:ChIJQTGV2MA72jARnuiVpJtxUgw
