Name,Rating,Total Reviews,Photo URL 1,Photo URL 2,Photo URL 3,Google Maps Link
Poo Na Health Massage,4.4,901,https://places.googleapis.com/v1/places/ChIJn_4VuweWAjERtu7YMLf4_lw/photos/AeeoHcIcEYjL1KEjd8AQk9Cazi_n_HMbkc2OiT8MWr7xveAQvKeOOOdcTNQnVDt0b8miUQDMboG58DJxgZsGFaV5NRPbzfpCaFndMHGRrOLYn0mRZeh07se9f9Wt40qcPwzpk97mbK-Xib240HJyJP7nZ1BbDzqib8IwS6pFRzfyz0vpsv85H5ujby1x7vqKmYNMBFq1PKeneCXunYRheTJBB2NJVhvrYEqWCPKdHIk8dUF7z-EQcZ8D82lg5fmJLc6bSFAAXk_ZV8qwpBwnf-bisazOIrDbZyK5sWOBZsBqXaD7Ow/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://places.googleapis.com/v1/places/ChIJn_4VuweWAjERtu7YMLf4_lw/photos/AeeoHcIMSeBPk-Ojo3eljSW7II9kO0aLcNStS0DBst_NxRR6w4UVV7AeSiAxB7IAMKMN__MMQ7tWrsmPyjWbgqA3z5sCsGUZRpDtyIvRQ2OjlCDSM28co0Alv-1R8xQlBfgfoCiTu5WBq7LtJy0pWJjD8zooOMb8swoODhLr1nbCX1EvPEvpjiSS7MutWD3mVbu-EBQOXZeb8NDcuxOd1AAB4hZJf7H21IdE6vHK5ijvjLKyzLFjL4m1rQK1yEU-YQaZzqqF_aM2P7j-uzBjMMHu4z47wQjhvjnp_vYCkQZHs12bTQ/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://places.googleapis.com/v1/places/ChIJn_4VuweWAjERtu7YMLf4_lw/photos/AeeoHcIF5rKy4NSo3pRMhcqwnnlXbWZkUPolhJMIUKBBuTSgDO2_ogwQq17HnZpxHpTiO3fOYolWe3LuoBPZnGmOuhTADVMebIp8tXYg_gRXEP4lIa8NVru4CxPg7YlgA464Wowz0kD67Fp9D9TSmHAJddJtfD0j-HRouroyci9r22u4_qH4cl9R9slwVCKEsAelPADpF_9pdKjewe-ZZlnbeAtBYerkRPFWBXF_y2aBkjXSp9gIr5AYNggV-CSwPFUbJqBikA0XRIqT58-4qzM6LQsrmsd9fwrh-r4ZsGijRYEOWw/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://www.google.com/maps/place/?q=place_id:ChIJn_4VuweWAjERtu7YMLf4_lw
The One Massage - Pattaya,4.9,4085,https://places.googleapis.com/v1/places/ChIJy_LqEA2XAjERg6ASYUaqcIo/photos/AeeoHcJWbUhTKf7hAg7OjuSIfOme9LH4GSX-kyhIDXxDiH2L6rBOynJZswBs4JVrPLo1L2L3qTgEyl7UKKS-t5eyoBDtUyfwb5ZSxc81hIG720BXiZSHz72s9J3i6jfaINXpIHSIxDELLqA0NAfo_rnEjlvRlvrIl3HNUB9dFxNt9yeWXAvdTN1Y5Ww-_Ldq63Ht0WaQO_TxX3X6tJ-t-QUBKGzz0h4KA096mpBsAfs90J-I55pHwZDiKcGPUQLExZG-j8FTA5yNanC0NHFRm4mifOMGbGSO6g0X9ffQzosNW4VveA/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://places.googleapis.com/v1/places/ChIJy_LqEA2XAjERg6ASYUaqcIo/photos/AeeoHcJDnTBpwdxHY5TfWqm7n9I15pEZqtL44223n8jycuGSp8dQc9SQsK00_sIMNv0tZz5hMLpiFqVdstdf3HymauijNGzcWkLbkW1CMVa--SbGbSpJj5SarO6O2rH0UDUh5pA5OgEQRTvlYSG93bF6Uq1_Nk9oH5SMmAzT48u4npPkABqKKE2fqxKPn1pbebdPBGw5XJcoNursxMQzZcak8J2JExs5pHIBUwAUSqD7ODB3f3_poljinmQG7M2BwJPbO0Jxwvc5VJR2Fg-nO1LJtAivRXnXMYzg2kJ125Eqz_BQPA/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://places.googleapis.com/v1/places/ChIJy_LqEA2XAjERg6ASYUaqcIo/photos/AeeoHcLExrjR53vMJweY9J_8FV68DFDuTFxpmH0JlLv6pBIYy2dr7ruPPSvN6AYis8Xj96858DkOs92w26n92W3WQjmZ4vaGwktb6-8Sv8t_RiZogJwxlAwGbpHDRgWERmEHk5H1Ir3aof4A02UA4PBbQ2qP-R7xg_om4C46ZjYqbT0daN2uiy-PbVVtdDQAxty5DsGupqa-vZDAbgrGM1Gnf44XotsKVVbpyDae95dm2ylnS3cdnMM4tvNec3bDjdoaRT718roei1VWh7PVt9LFJOo-EqyNobnQJa2wIo5SHFh9kw/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://www.google.com/maps/place/?q=place_id:ChIJy_LqEA2XAjERg6ASYUaqcIo
KODCHAKON MASSAGE,4.6,250,https://places.googleapis.com/v1/places/ChIJvdjsm5qWAjERPA_AvCfvar4/photos/AeeoHcLm7bhCcAjIv7zEaLU1xfhpaO0yb5L41K5g8skeY8MP3npVuGImT7bFugh7wiE9m-STL1rHN2XBsKnxMnFBYpKfLK5HpOi-pwt6Zd293omIB1iPVIjC1stAkbg5L1jUhdF7LVkY9Cx6aq0dq_g-me-vFDDXzM7FlSxXiUrWaslJR3olvVb48RuQAu9O_vEKkOL-FUQiUHpi-TkdRUc1WcI0IPKd18x2DuLnLdjjOHY0gRF5i3KmKUWzfuxffksr08jLkjh_KFf_5K8lJXPQoMg1yUrz7rlaxueGOOfDNvMIBQ/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://places.googleapis.com/v1/places/ChIJvdjsm5qWAjERPA_AvCfvar4/photos/AeeoHcKB5WScwbeuFoV3iZ791_vULS5zX97tl0hp5hqhHWDbKVDgDzxhPjM7Zr5_yoHdRT3M-URNfMb0iYxDj1pYeKMbPB3F82RTI-360JVNE23dzLtYuPkfnNOmV8H60Kyqm-3OVzcaPPkRaUmXrXXIfSGE9PpsOJ4-XHuDAcV0W_Gj0zcYAMXpGsJ2vttyvtVcYBQELbrMwj6YyFzIcrTPqjjn_OdPv_4dNr_fhrOV0nYQdAbwyzL7b_CiRmwslAtDTJrlmvN8DCCaFzziPRkIwYl1i3tplqDR9Ccr6GYcdLEfhA/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://places.googleapis.com/v1/places/ChIJvdjsm5qWAjERPA_AvCfvar4/photos/AeeoHcJruSCz1b4tDDQKdXhwy5UzvPrRNJUKWL8lHbKMp1NY5xxsnVWV-PjglVPOMw_SwfkZdX8HL0Vi-04-96GTAcW74quCLITVkY2VRITvkNQnpG4YWqttX-GtVf7CXP-fWp-QKILsEvv8HR8Xj6bRvd8JGdU0ax9nfPxQi3uRn5q6nnTpoulRuiPy3KZmanN757TwmuKx-ftErw6B_JPF8jVKgMFLYbbkIw9TPh95R0FHrc6KZwttx_NpFz-xV1sjDNQZTpdwKvUVLRlDYvPg-5K7RY28seJCcxuTNY9OEy8VA24g332Vg6ILS9PanmQljfAo87iDFUdGUWIis9fBA4CVNRoBSijF_oHig53UEGoeLyKldprnrSgwZe0h8qGCb7eOH61TPzlWzMeKM8p31g9uXMIkBhi_JEySjFW2PaKT3g/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://www.google.com/maps/place/?q=place_id:ChIJvdjsm5qWAjERPA_AvCfvar4
Soi 5 Healthy Massage,4.8,61,https://places.googleapis.com/v1/places/ChIJz7lkRoK9AjERA38vfO4jHjU/photos/AeeoHcJ3-6mpfYPDqVDztWjTN2Ev3JL8_5_JG6t_Jxx9hgOoLmfCyCGzyGaSJfB-vooGTrWETGFmkuLO1OKHo2Xz8aS4q89zQFaoVFnWe3RBUy4LD8cvQ8FhTO1gDgrvYChEDTotdvSCen4KuODLkYmHY3Orwor4v0UPSfUTnVJigi6UkwlaHBKIX4yJLJRAPdo9VOiDOBsqOV7ih0qI2smnrNDb47nKpSi52Hptbz2u1eCcIK4Ee-H3iK254wfKramjCzBLuTZylENGlWLSa7OpkDUbURiJtNNIrcrak0HfGuN5MQ/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://places.googleapis.com/v1/places/ChIJz7lkRoK9AjERA38vfO4jHjU/photos/AeeoHcLevDrDiTxiLnLBN4_z1u3fJtqH2Fi-9vq937oLxQaTYY2ln5ImyG9KoaEcJLwr-fzgLUbqRGt7fyUjpL5IWNDFA8Y-OeI56fBaFhdMfKyvGWbikI9EvH0D3U50DkuuSWZA1yMAYixVSSime3AJHZ6e366FzvtpLANGVS2Y9MJtf-x8ph2ZumymqNFmmzvKzjgZB5_Gi78m3kgNOTvdDAwuS_0TW1wMlNQQl8le2QdkQQTPrNfie2hyxNDJfDnUMGz9Fe7narLbLl--beTlaFEc_-tPbgRjN1_6Lgw1lHK-mA/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://places.googleapis.com/v1/places/ChIJz7lkRoK9AjERA38vfO4jHjU/photos/AeeoHcKKgc3pYXZHvwFfoSs6Ium7IJFe5USm4fegJXnRDc1j_YuH15r2TZDwfyLbm_XRUGy3PUOS1QBYtVxWdfgnNTKYA8EuCXfNcjvWx58MqoE9n7dYeNcsvGawvpzOC0z6jjR1Yk0eCpyL8cwi2WZEtxrAZutRBDjY5sGT1WFe8g9FUu67oV1P2QmsPjP2RuUTPFyTxkniEqaYgyGYSMe25UBl2oeFZRxjxGJq4z8xSUEkq99RYf9mi_UDzPB1Kq5mouQu5pypeB6weAdghOVEVKZudsSoR_fNM1_2wO5u7HdwTA/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://www.google.com/maps/place/?q=place_id:ChIJz7lkRoK9AjERA38vfO4jHjU
Emerald Spa & Massage,4.3,96,https://places.googleapis.com/v1/places/ChIJUeE4uSaXAjERfmkhG1p9EGY/photos/AeeoHcLR3n5Q52K1-YqiKidc1vgRalsD3s-r-yASMxMdgX_Vj9DGEYQzb58hBkKevVQ5nwH2a8vNDALor8IdwegigEVHCLqgF1seZRJjVWlv5lOwaVW60INAj6eDBzFbBIXpHM7SLC5n5LnHHnumaQ1cXx2sMdstHqiYRlftTniKy8bJSk64b612VNObkNjncCC3UUNsVzZ0TlG0UhlkGHgVGTnvwRBoreTWABpG24RViXChXR1VT7Z5lKW-53xRvVKLuxXDp_cpOB1AEKaiijs7PkdyHjcmWWrPctVfHnZlpqSC1w/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://places.googleapis.com/v1/places/ChIJUeE4uSaXAjERfmkhG1p9EGY/photos/AeeoHcJDLbI-N2cdvIO8JM71s9vyf9vS2vaNBpJiXfZHQxNadNJq2DrKwBfFJtjye6YCGN9osABq0PBgheek20XR7O4JzWRRyyM_nsz-WGKABm5XCtvbz_kiuyrWXM4Y8RtdP7QAciZfMilW9r5tmudAijrQeA762gCphlPx0gLycRCsWps935ERAGkSLfGSxFrap-Z4p75JnsiIIxLZQUZm4WEn3MfZ80hCA1cmWgXSoF7PZwAxQC08YkVp7ddNgXM9MdZSjtYSJ5tbB4DWgI5CSoGIAyH1ZwyHrWROj4Nc74VXWHNcm62p2f6QQiM0lGoKi8vOlkdbqQcBqx0jHORnwlq1xlC2eYfLvKhx9iEKIxUdbWGXKgNY_iBE2UutayKfneqzLjJH9Pi0h8lJI_NsIyC5mQsHsesTZQk-SVwl5Vb3vwsG/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://places.googleapis.com/v1/places/ChIJUeE4uSaXAjERfmkhG1p9EGY/photos/AeeoHcItKxP55znpedlc-Vkfi_JlzryYxlBGO2tZMIv-jS0MVKqbqaXHvbzQLPv28RGH-HpJvQRAJKNk8Tu4kq9xNmV8Ee8LL05Oj4NRKpcqZEWpJzCgjJsJ42xKonnPieTspamu0-jKqU6UYjwomNorrZ5NkiutWlnrFWIW7a6YhUKPSmuse0hQsBuoWk0ExyLAsHdq31LB_qHMaViJ2A7sOTQuxSY09x369LL4XPS7ODw2Y9hbE8t60ivD8r1wmtX0xH_G6iWlGPLH6fmgQ8ZkJd9f2s41p9nO3iseluHf8jH7fQ/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://www.google.com/maps/place/?q=place_id:ChIJUeE4uSaXAjERfmkhG1p9EGY
T-Rak Health massage 티락 헬스마사지 تدليك تي راك الصحي,4.9,184,https://places.googleapis.com/v1/places/ChIJNRJiIw2VAjERzzUTF_9bKIg/photos/AeeoHcIqkzlIQ_CNVEhHto_gByiG2UL57oV3OIzIu9xgA3aOQWpJE5i-wfZh7D3OBlRuDoDuV_kOr7BMvVkJweARIA6KQwrnh_xbrIrdyPy1TCwOHpvJqDj99YitZWWvfCPN6Ex5up7CqpQv7rX1jeafMB9SMc9YTTofbeHjfWcRA9NBox2VfrT-aagkhK8NTaKBmJtK6BTfDXe_tc_pZzhcl2RC1-LyK9Hdrl8_w9fMyNxmVX8G3Kw070OOI1jsjebg_VPf0VzCTNWNaTQndSm82JMIpVhd4sEBr2oAufMWO7MIfg/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://places.googleapis.com/v1/places/ChIJNRJiIw2VAjERzzUTF_9bKIg/photos/AeeoHcIj-mR8drTrjupH0Nvo5ENaFkXu08aTLszZ_SJdLbr30KdlzLR6Pq51R8V8Khf2YwhPIF0UlI7TI3wJjaWXKq8Rg_aZnwxx7tc5u3fhcT4ZlXUQ4g9FtHWbQjH6QQUc0Rp4id8aBIaNugqImIGtQi_g9N0tO1Q99J21O-62j4zYCDd_-RElvc5HoQT1IpZlD3JYi6bwce_RJHtlGNZa89DUpDHeefUTm_GHrMwXgGwjDGzr3zNY_C7xKx7ageNj-B14Z7lkbnkPF41Qq4h21uqtVh__1Lzwyu3lqGZmxH0d3Q8cdvELjpKZc-YOteK57Cpfj6g7WghSwOE356GFZYGfsHgxSqs8Lko-f50zHXCbjb_SCMKQPjLj4hHfv_lCOil_GBRkiWXxeP99WiiPHhelvCp9H-RFHwJDIeNxIAjrHa9E/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://places.googleapis.com/v1/places/ChIJNRJiIw2VAjERzzUTF_9bKIg/photos/AeeoHcK2Jg3lY-s8uZowqkYrHUvoCrFdFneyuYFJeQEdgkODPMGVGzuIHgMZVknQYzYA7xCjfu3HXqh7aZsix_yAnPeAWtVw5qTRgFTFmATFSDbufp0WS3mC19Bcs2IdZk7h3C21vdRDj8xPs1VmhOli-8opffJ4i1smn6csePPcy6JfPlum_rlaNNGOrrhN4bvmpxIYpAmCo6Ixt7Q9PPPsWwbVBV2uhL-bxfj145EPr747cgY_I06NO0i5M457Vw9g3-fYx2sqJF3rD1V1ahjJZ3MyhqjLJf1MJLRYV0JUpN6tog/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://www.google.com/maps/place/?q=place_id:ChIJNRJiIw2VAjERzzUTF_9bKIg
RINN Spa/Massage,4.2,295,https://places.googleapis.com/v1/places/ChIJEfxszLmXAjERBiE4UVdYEdc/photos/AeeoHcL3Ul_T0UXxdIyeBAiv2NGpulqKC-kKiCI4SbCBv7zuiasb4woE8GpR3BrgwejPEJx6kJ8dNIMG_d8EPLuMxwFYfo6JJcQPeOLZuXuAeR5ucNz3-0qDegtGi2E7jqWZ3QpG7cCxkHmRpzHRNe1IqNPoYJect_ClIT1iQgQSKz4EwOM-gDm_3SKQNluia0p9_H8pFROXD_JAYTRp655udowfEPNTHdWzgcW55MH7vTObiL15D1k1nOkPDXykHgP6p0vOTOiuMT7KnfDRNS8ZhALqEs9YoCDrJoxfxDj1Nw7jynCnWaFClj3HgaA5INYonkRDItd0RLm7cjFwhs64tp_AUvaKT0igDUztwfvdMhC2o6JI6cnaNSNo4nBs86DhkCE1eo_m3nWraST_ShpyNw5GNmBogLXgNcWw6Sc_2NqXv_BM/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://places.googleapis.com/v1/places/ChIJEfxszLmXAjERBiE4UVdYEdc/photos/AeeoHcIctl54HgMxHiXFwqQBNLoLs5EPGRMKMYe08ZUrHWU30g_D45r4sQ4bmbot_16Ld65bu1ToFplCUBPkkLzV5fqP_expTe_LlRp1jobNGmG-UtjAz1paVxJitzyVV3_DzjMZseIOK42EbSTQE4KeALm2FMVcAhQShLvNzGPLq0ZYJYvg7zCt83NRZ_WSU2qMG2LJ-mgUMddZePHSznoxdrVHlwbEcAoCoVdbpnln1u9oLhnJlzfrPlzKGsvolTorwNLNdPJ9pAFSdiI2bHmbtq4RvkVRRwRVyEbb8gDKZGthagkbsU9vwBPNnhK0lBw-vPqTDX5EZ41FnMLEFHWu5-yZtChASk2DcbiXql6-mAoB_3pLoK0n5IsUaGqcgV4ndykWOaDbo-Nyc_y1tPc9mbM3Kw-ZdJv-Cbp5IWmFy2Brp3ZC/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://places.googleapis.com/v1/places/ChIJEfxszLmXAjERBiE4UVdYEdc/photos/AeeoHcJnL3_8MwylHmIX_4BTciwWv8ygY8Bisf6ybxjD937Q7LvIMWeywqIYf_Fj11t65eFm8HLBftOOQPPNqp8-QctDHsromtZHbU8AwfhLwPqHfvBrv_E4cDxnci1NgG1nLE-6OZG2Zqhv2-4SNgt0ynTF692SzR_DYdNZrm5-F-IPMzHJ7gs3cP6zhlQRBjXDnHsreBodMp_0xbPJ1Bh4gQUpJQnn7disZvT3bxs5qn8memrWMEEP-wFefB9L0YUolqsTGrflF0zq-HjSlHLIefhTnc8vf1DEYfTgwAAWxALdqwbcnG2dQnIZbkcuw62OfolVf-9Jx_nK4BWAm9keuMI4VuhOZsP40avHV_v7JovW42q9vIBxgoZR-oOtzWjR0ysHBamMtlu2PKpm5sXV5pi1JW44WrjymOvB6G_7p6pLb6fQ/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://www.google.com/maps/place/?q=place_id:ChIJEfxszLmXAjERBiE4UVdYEdc
Rut Thai Massage,4.5,330,https://places.googleapis.com/v1/places/ChIJt4YhPwCWAjERZ7q5AxoN3-s/photos/AeeoHcKCBA4FOWoam1K8XJhw2GFXh9xMJ-2ih01TfTLxHQZOwbhXnzf91yhD_uhK6ZtyLybqNqSCZ-WSOYxSCKCJBMmbJw7uEteZTnl8WzTszsL9sXuKLCsFC9Vz9oTUWJatIRqPMeSBZWT0mwZ8ZOtosfbONgm0fuoM3J65yZk5tVEYkLs1P_ZgPpUNz5pufTkNkCMp1Ux45vLfIXtrnM0PGf28zMtIWxAxEI7XanN1wPR53Xk6Pj3hwCV9dJLyDq21BMbiGgGjpnb5wNgrjyJm0bsa9mpS53e8lM6C5ty6mVnRjvF95mTG9Dbn5gmZu6WaWg45QIq7CS_r8w0JUWljvzBT1GORaI3Wqy4ag14hmWk6mINkJQ9rbSddwf0RMUhIMSr7KR7CSMTBMiL-Y3-X_dLy6Im6XTtCoFFabJN4ZZ1vqw/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://places.googleapis.com/v1/places/ChIJt4YhPwCWAjERZ7q5AxoN3-s/photos/AeeoHcKgcgHx0XhT3YmjJ6vvmdm3yJR0C1JdqdkhGEpV18yxwc2i-Mbjuzb9YmclSLWcaJyt3YIbZyHrfV4a-QwYC4KBlzMWEhBNPtCZuvXEhSZFkBDj5wDHMk3fHcKnlhlpiIynrSe6qRosmg-unJKqH_LX0ym2z10n5vhw8pX53ZqyjHmW2blKGG4zm5vxzZ4JHb8QVMIFLdwdomab3eR8A8t45J5d-NtUNoOI0GYakZ32WJ-6EHtoEH60PjWe9EPIB0C_gwR7GdvcXBCj4TsivLSKHJmIWeYjOELzE9R_W97FTetwLv5Hw36shnp_5K8aznKr5lwh9vObsxwoh8KcaYEzwba8UiHR_BJWjkMDbpeik1YshfvZMFeAYZuNRbLGClkr9DFPtQZrvOoHV_mWXfALVr6aWYV4Vf7IaCszeajEV5-i/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://places.googleapis.com/v1/places/ChIJt4YhPwCWAjERZ7q5AxoN3-s/photos/AeeoHcIYHBSpAWFYnijy0gYRlYtbAVPDvCLkLqoowF-AyI6PGtn1TJreIWAuvEcUkVxbGgj7dJyhmp1drYQoR3Xym0Lf5lmgVNNDlP5owsShMguSScXpyO_t4izv8XYjqHc_C2tLan8OC6rn75GL-jg4jG3fai6DSd-FtYcwHtzG0FkVbEMqUUkI8CjlsDZUAqB2-IIUUqeFaNBJVrKoD_XTg7c4Jq7h1SWTMhO63oY-M-6NP6X51DQbOgPo5ZbiJd0Uu9YoHBZtFEXIZ4sBaFel5OLkue_lv3tM7nUsF8oxbyq47UYMV_xASmSOljJ1hRkaBL6t5ha_F3xEUyTCfUpcWaWg6MtzamQ-XFp5rDg_52RpOttEBUo5PQbcmsFTKXfOUjVVYVV1cTdWHzpzGdHHVGU6d9hAZAcLzMBuecan9UY/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://www.google.com/maps/place/?q=place_id:ChIJt4YhPwCWAjERZ7q5AxoN3-s
Bliss spa and massage,4.9,16,https://places.googleapis.com/v1/places/ChIJoY5oSQCVAjERsfPFrhbPMI4/photos/AeeoHcJ9nzA3ie4s6BlFEM_f-7xZ5doHlnGw_TLhqLM-5S_OyfMA9pXrP5SX1q0GrFzCmdgiGOoZ9lBnkEUOIaRhVzZOwLuDurbjsiyzCNgVqsf9UrrzDo0sCtxItfVw9yrCzcTE-Pt3YHhjS8EBUYUAw56p9-QxxpWnaT2QDQtdhzmqBubG5qG0maT93-IgkPPbcOP2su8Chw_c5G76XdKXk20vuIWGVubAni7wzwq7SPOS450y9fVSix8amv5C6kPq35keYvYP5I5_eydRdPNzbV-8fu4pTHVwOjWvdbGGt1BYZw/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://places.googleapis.com/v1/places/ChIJoY5oSQCVAjERsfPFrhbPMI4/photos/AeeoHcKKjchNumbdGDBSDVajqOMoO4aHey2KXe_Gc8QlKO6DpOKlL0qmd5VaXp2KNHHx6Mm1o05QhpbDTrORVetRj6HCoB6OhLyO9E_aoKWbJy9TStvd5jDgk35CqM77HdTodeDcwqeftiThrikUfoRFlxS_7LY-T21A9ydeQfBuQrvVcG7O9vbJ7Q37fjCf8DPaA3fOZhAMPZ6rANcDgjyUwz6AzOIESAar-j1qVRdAQMDCJ8_GhuMe0zUgprLebIwW4PpMb1CQX9nwSIRmDuG9dsU8S0MamDa2i7pXIkhheQMawg/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://places.googleapis.com/v1/places/ChIJoY5oSQCVAjERsfPFrhbPMI4/photos/AeeoHcJYMrpkYmHBU8yBEKYQjgCUG2RKQiQ0C5rhQ0ZZrx01SuCJ4SRTjl9VdDDKuXQH8pHUwAADzUVU91duS6NPVJU-TermuPoAGv4PQR0m3EslDiWdW2YCzCqi1Dk304gM1h1OnmCJGQ9DYSlZM8DOx0b6fWwgr5gdISBJJ8vJiJWWsER1g39QoIDJtPj688Yw-yqw0WwzwuSlQYkSsktSqWZcvmVFpaq4LG0tuSQuxT_lCGEDyT88fks3oRrqtV_ugXFDN0n2GoMc9JQAXpO0NieuaK1ADXQ9zkdqMo8VGPuFQA/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://www.google.com/maps/place/?q=place_id:ChIJoY5oSQCVAjERsfPFrhbPMI4
Krissana Health Massage,4.9,29,https://places.googleapis.com/v1/places/ChIJUbw-PT6XAjER9sYsdWsE9Ag/photos/AeeoHcJf2_CHBS1P5HxNBa1420GAd_R-vpI4d72Z9QiXIQNh6DJYCc3ILHA0rYJg0Qkr68xbK3p9lKQOEtUA2BNoQwc_RNsj-b79UcYS3ByS8yVp10uSBwakNzqZuXFlLgzsOg7Ih4gSq5i8qDB1r-Y8aKjS9aBR0lb2lj7RpD9uKfGfIpCAi5WN1MfAm7X13t0x7CfJwk3c3Bp7IPZxQdN4hbCBpzHUDzankFg8xkEa4ydau3KgzzACMFPjRB75EQX6ZydqbddG291HEcEpe3y_tUudOVB1doTI-hVw5WuuQUfRdA/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://places.googleapis.com/v1/places/ChIJUbw-PT6XAjER9sYsdWsE9Ag/photos/AeeoHcJSvmlFBacCSfBxg-7h47FuNhL2JXsUNET_zC6_gvuXIyjGDy6BKt2yj6gE9yDNNHPsdAWGEtxTfKjGkQciHVTqmfE58Quxxx9WSEPQCPi9510pU46PdX0LXiUoVungmzBfx0dcMtc6iqIY3YbK2nQwfcPhAjHG1dMxuaxIC305sA7UuFRVXyxBYNpGZhn4Par6S5NUxuhz0ojmICHeIvs4tmbeP-UyWF-txRQSQfpx7uGDuzFmijB_F0NbF91jqg_5uD16gmTwMdvpwFnH6sInJxG1Rp30pg_idVyBn3JfaA/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://places.googleapis.com/v1/places/ChIJUbw-PT6XAjER9sYsdWsE9Ag/photos/AeeoHcLO7vxK_sOZbZLWveQwFoxhLHk6qXj09ZAnWfQ3ZnFsGMgHiL1a_wlx0n31PUrjr5OjclsnG4TCPVieAg5hvetmCLqXtRpliWzcNDub_7cVtajd-XvNVIeXHFEmEpK2Lpb8iQDUntK3FM_U0QB0jN3jggsIsi4cRXiqHv6D0UA3WNwDOwojk-zddHGJV4VMqEzTHdiGpinb_CYjC6XnukVnuu-EfQ3qDlvvyo5cvOn_EX4xOi4fxN71V1a4lfukCC0XdiEWGUCtGQh2q4go3X_iCmBonb3_lVy8fRDhIOiuGg/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://www.google.com/maps/place/?q=place_id:ChIJUbw-PT6XAjER9sYsdWsE9Ag
