Name,Rating,Total Reviews,Photo URL 1,Photo URL 2,Photo URL 3,Google Maps Link
Mandala Massage,4.8,37,https://places.googleapis.com/v1/places/ChIJ_xABGwCD4jAR7etGzGYwrqE/photos/AeeoHcKAYZ_h3CDkLhfI7XFQUDgzr3gYNEIyRmzoYKqhh-5NXmSu-Te9tMvwppxAeVams7QmL7hX7AtiwBRIhBxHKk4v6t_ZI-zK-yicHWzP8rjKJV8Dh39DQgfuxKsL0tV4PYg75v0GS24SZcpfPqbn_b-hmrmtW4IOp8n1WvRxyvGGOCp8p3xfxDyNDyOUENCHoco5Gm6drvgSnlsYwHd4gIPrOftbpg9QGIMO6HgrYbhEG1xzKjBUDkm01fThIQqrv8rY5gyHyCKDhD2-kJ5qkYDGPUBGTad7zot55c_VU0qDfeBIbZyWP7XvdgDXd-RU9fgAt4bPdGWtjQDbfZfQd_fdsVbi-zpt6g7zi-tL2GVqF8WE6dROaKRga8BTM2LRjri8Uj_kF2wW_iHxHIGrAC5pYlEYYHdVewI0uHzPaxE/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://places.googleapis.com/v1/places/ChIJ_xABGwCD4jAR7etGzGYwrqE/photos/AeeoHcKbFaouZbsVdGmFcEGv8sP6H4DPjdxFv94buEorMVAFaYMzwZYF4NbdEG4Tu2lqwHvE72E93aQfr4rubN2p1b-bqQEUoH1Jnh4tU6-h9EklOcxMiHctHGrm1YbHv68pFVyk2ZDI0GJB6t5pMe6zzA_HPJlBzgrXVPTIrJA9U-lpv6ST-B-4dvvrPgyeTsusOfDTEhlc0ep9u6O46Ox9Wc-hpjAomWvxss6FkVCHNDnwCBgR6ouJFWnZP9OSzw5AWIbrPjcff3YnRRF0VDtyBKF4pSdcm0dfIL1HiYfb8M-2Z9stPmzGfBxBbRuv8nad0RYAkiFMvixF8--rDT2bz7kH6b0cfoQH21dHJUA8n2eLIOldNqBdyFP-8jBkvoT4Dyyin9ZMYZONz5RF7oTLKFppS-NBOk1yHc3Py9sr1jY/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://places.googleapis.com/v1/places/ChIJ_xABGwCD4jAR7etGzGYwrqE/photos/AeeoHcJWHmidF0URep38BPyNfzRgbXIzu2VhMY2ER_jjMUp-gGPDDRF5_6Nc608ApULWr3Jx2ebpcK9bsBTaybGVH1FDnY2gm8LgY-Cd4tfYr3-yOg53UL3YEOh0TaN4uGkWieG97ujbXXNueE45J_jHBtzAQbzb5UGWDkywRpyh03sgPXmr7RtbLJD0L2ID8_MI4VrOonv_Znl9y_EYMeAywFewAudHjtW0DJPQ0DLJSdDMtUm9dgbcyGevxqB83Q0ySGliP20sTuwyAnFGr1Ie7AL0g-7Pf1WxaO7OSa08nz6bOvAMj2AFQc8ISUCduvLkT18ZDmyQZzzVEgGfOxhnwpyH_Ze-PkiJSuS8aJr44JviGD8ijoPP_kzJgkjnPTnu32WbIoDotbsF0oo-BZHAyqUDha9FzrtGLJ62HotWFIe2eQ/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://www.google.com/maps/place/?q=place_id:ChIJ_xABGwCD4jAR7etGzGYwrqE
ร้อยหัตถา นวดเพื่อสุขภาพ ดอนเมือง,4.5,30,https://places.googleapis.com/v1/places/ChIJCR0PJzGC4jARElyTsVmKk70/photos/AeeoHcIw4lV_1qsmwS3AW8r9324BdoLBf3sohb_DLWzn4T0nTTHtxqoP0oEFObUX9EllCd2lZhrrah0LTTqzLCRrHojvSaFdNPvfmj5rtjKo337D4v-JTeqq23Yzh6a7a0rZoR5vy_NfKqUDhnrbMQ9ACJGYYCTuDyQJf5WxQYG6joUjxcCN4tbfsXyxpPso92M2YnWSIM3y6jMuSqxKzvAfMieilIO_ytrW-osXyTFM5Pplcpq91Ap7DaR68I_yD8DXS4wxGOC2V5_zT5x8n_hdz1kFmDSdsgkHG-q7LC2qSogMkA/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://places.googleapis.com/v1/places/ChIJCR0PJzGC4jARElyTsVmKk70/photos/AeeoHcIipGal8bq2n7kNlLGdbHJ0W_Qr2o9pneNEGTRodWhem1jvG-c3jltIDAr2h-Q2Y0u5uQTfQIcV6qJKAU0cbZ6VyFokHrVStun9bYb6uczrikBUw7k5x4BRCFzLkn77UkQ99hfdYc3r6eLdjKCUWVh4zLKE4Pfp3VU7jgRKU2gkCHFdb2L4sM5_-ZyRWZgzzy7CtiuBZTR4h0G8IWaLWQN-ND2FsKKWd1H0-OYE6e4tVbUgA0mlMjPJLPcofAGPOUnIcIqK12dVKM-OwNE8OTQwvuFBeMAG75qzs-3cxqz4Ov_Mw5w7Ie6JXIIr1KjOiJLSIA_UcrhYCO6xfqqPIchAKAU6MN0cuIhbpS80sVbnreyLaIganp1DMu98hr0yJpjCPI8ws4trQUk3YinLHRcsJcNDWtc12nPXNggJZuc/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://places.googleapis.com/v1/places/ChIJCR0PJzGC4jARElyTsVmKk70/photos/AeeoHcJUMWyaQKJ0RP-3c8vuo-U8lu7hCUBOK2jBPfsp0X4MmPKKXpfTRNripK00tmxzQ89WGxbUl6Oya1AnYLp9djuYmJZML1PvfMHqv135ON-2bAuhPOvfuHlgldz8rQrZXcJ55_vXmH3NenHswE_Kh6HFaxyw8iiVqDIfouP6w5VgFsOnGlwcaZFbHYFKxhkGokIECB-bZyp1gl-NvUPZm6cEsuyGvj-5cMG1axvIqLlxuRkPywVLdH2RSTDkVp-HW_YD7pFUwaE6dF-ta4MOYcZvUgwsWbDikj_TpvRFLRlbMw/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://www.google.com/maps/place/?q=place_id:ChIJCR0PJzGC4jARElyTsVmKk70
Pankorn Body & Foot Massage,4.6,8,https://places.googleapis.com/v1/places/ChIJ_dzQdoeB4jARlz28n1WJ2JI/photos/AeeoHcKgYQ09aVI-9vTsnxk77Co7dKllATf1bDFyqo6BYm3HxnHp08qHJ2OJhsN23H72Ah0eZINhzyJ1RU2IgxVTkuQTkkg-AeAzxNTrbobX6axkHPDGn1IbUAKQF2eFhPrwlhZOdLaSEQIBIF18VK7Od4mLkil17u7IlOoOt3PjCfF5HjG3xlJWuvG_U-NS1U98AwEafEmr1DrMHaeSYbGOVTEq5FZd07o9w9VP5BjOktvjsNgeM1KvAUrBBV2qL2QRmmmRQ1Xe_nVxZSZ7fAQegt-MSNRj1qRrU-FOAluFtTB8mntOgQprEPIxKdmaSSdD1sLRR7l1YTtUKsZueZeFlIuITAcauyzpo7582fLQyRYuTgzPewBjfSYJFE8RlBZDarhYl1ee1i_d9kbXiedq5iDU7psLF4YmIGw9Jxhw_b42T64/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,,,https://www.google.com/maps/place/?q=place_id:ChIJ_dzQdoeB4jARlz28n1WJ2JI
Ploenchiva Massage เพลินชีวา มาสสาท นวดเพื่อสุขภาพ ร้านนวดดอนเมือง,4.7,120,https://places.googleapis.com/v1/places/ChIJRU_a_HaD4jAROLDKQEQeP9k/photos/AeeoHcJjjfW-BsZ3PVjkFSw0E-7481idffAleYHf0aVOcBJIDKlhMW2B9__unxfELrtHXm8XsP-ICkKKG5eln74IncuxqhhyMRu-_x58SVu3RsvSgV9hi4vqQEz9cMtaC-0dMDY3Kj9YAvdm9YOGuGT5FGtV3FADoP8ZZbtU582eC4WAYhzoNarPEcira3Pj575lXCt6njgOLE6FA2Laar2uzD4YE31T4UVgw9C4cSLhcBwvoGO5LsC4VtE905b7KUT7FuUiPDcDf7CWbRHon5DcTB4UbGDGXBfPYgk2nPsVBZ7LYA/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://places.googleapis.com/v1/places/ChIJRU_a_HaD4jAROLDKQEQeP9k/photos/AeeoHcKjLh6rBiiK1GRVUGy6HgJxN2QFv0rPP0qNqeFye5lSiYFeHfXiCWw_06Oi6gAr3tlwbKPPmhNpYNWOI-xFNqTgfMO9jfktQMuQ5H14z0PXUD0321J45UHMN_2yjcIcIol0VDCfIRLRMO__uFN5ohZE67sVnVqdrl1uXUtsKnRJYJ3cFTGzVIx6FMTxwk0Qe0V1ACcBUuN56KgOcPNsjsbP8HJfBwLbgJjS1Q0ARfCdabfjs_UCbx9tq8k12U-aMGJwkuJipyW9vdrgcfZeMEXXmvEkAM0Mb4JtsE0a1tQRtg/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://places.googleapis.com/v1/places/ChIJRU_a_HaD4jAROLDKQEQeP9k/photos/AeeoHcJooweHdzjlt2D3_Z_x0u-LC1hwfY9_mw8CsDhjUsqMnYc8i0MGoxRnVR5l0AIrziKKaTFvBrh9xt5Ss-OX7GmKqM55Qa63nfQizklhU-1MhMMDB6cgyTAfOAcpaIzeHbXBjEWDncU3ht2daphbTX0xZYNPFbmQ9OuowuCfRHoQ4e0Vh9brO6e5nVWStL4CDIiM1DIbCajCGXU-YnJnpYuDzem9MXc7v-9DIy9kfvkeCqGupL-V5jZd-0MiBVyayGYmiV0lE_QhBuLKIHCr6QoHJEub6B-m2apT7SdgpZsEUmdWyEHfFCWHIwXXTUst48r2fU7SuL81gJJpIV7HH6EAOBpNnBhP3aa4Ap4sRVlKYh8-hASdVMZx-PR1i7-t9IJMtYdaMKLvsWdOm5mImstBbcumbVfmrHNVPcIhpZA/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://www.google.com/maps/place/?q=place_id:ChIJRU_a_HaD4jAROLDKQEQeP9k
Knox’s Nail Studio ร้านทำเล็บดอนเมือง เจ้าสาว spa เท้า ต่อเล็บ เพ้นเล็บ,5,32,https://places.googleapis.com/v1/places/ChIJY1W9SbSD4jAROKbCZkIHpXw/photos/AeeoHcLSdjnzKdKhM4-2j-zyTYVRNGkkmp69CyxStICGAUkYOrynq1CTXafpO8kj1dXp8ctZ8rauPRC-Y8SnES1nltTrCBoBWN1XQpjeKFezI7EWn8J3PZb_ejyRdlQ68nB7oaz7-o1GgOGVFUpQcAWs0GDMNJDuIyQkSi4wooCV0T4e_lxfbw_GzgS0fIn1xvs_jhDxSZ3TdtSQhfp7pHLOi0aW-5shIMLquW8-ZXe9DI-7hjLmElslZTnEiuypP6f8uBJCb-udGVtIPUTfkdr9olXxZKzAlaZOc7ZbMLLQl8Fdiw/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://places.googleapis.com/v1/places/ChIJY1W9SbSD4jAROKbCZkIHpXw/photos/AeeoHcKfFgfXfGLxNnI5m3b-7y7X5OUbTiC-mITvBuOgQ4o4MiruPJuvcf23DzXTtb4uQdv6OwDoAwhKe7JMVx0izPj7wCnw-bp85d9iKnYqmPbmYwFTBkzYJN8p5gJTJoWgftln-hJys7TLP55wiNn9QBWDrrxfFdChkDt7uBqIoxgYvur829rN4fPH9Ty6j2frbcSMpmger55El_2G_soar2_GkRGTAyHQHWhUw-aqPngMPm4mBI36yR-Zc7UmznBOXe-GG3-0RftyA8bGRm0v-7mZ3eabjNHeu4kGK0Lqz6zrTw/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://places.googleapis.com/v1/places/ChIJY1W9SbSD4jAROKbCZkIHpXw/photos/AeeoHcJSbg6VgDjCxs2DAc3dNmp9RIDU6aABpXsuUlpQ3ClV0Z3a29AO7aI6YzVhSsd0d25xCCpF-YahXzuYn9ei0AfTdC16rrv7ZrgJNenpExbRwGdvCYDS-T9ngs0bB0iYxC4_R4fTpOzkPEC4YgEN2KhlPp2jLR9S_dcbG92dfClUsQER10iS6vlRhKvQ-ki4ScIECjhcoCE3IwrREI5EunwcMPJuictae_uUYatLeqoyZsb8u1cE_XM_F17RDR3Ok1q5dYj6UsnDMQJhbCInv4IuVVX0btTob1GU_AXNfV7AXA/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://www.google.com/maps/place/?q=place_id:ChIJY1W9SbSD4jAROKbCZkIHpXw
เมฆาลัยนวดไทย,4.8,199,https://places.googleapis.com/v1/places/ChIJ0SV5FV2C4jARvwy0tjDz1Hg/photos/AeeoHcLYv7qrD7z7Uk0fEG6fGlEyji5bI9mZ3OL1RSCc5L1qDwjv9v8-PuZ_yfo4lfhADUnQjSm7NlGkSCCcfivz6AEwHf0RoQpa9D3gLqY1e4cPfqEwfNWRe0IT4tYJFgg-bVLALdOgJ39JWIUgR0uVn8IkeTdBoVOkNk6heEKJizZMcicCV-maxUGA4TruJmcs6EtWsgSClli8i9IPoEL9ALutqPXucPCRi-3XT8rwvMhrQbCYrSkvJb8XU4yMELB931_WiiM544CIrFsEKbeYxnTmLZI-gxjYpYevalVa0CIpIg/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://places.googleapis.com/v1/places/ChIJ0SV5FV2C4jARvwy0tjDz1Hg/photos/AeeoHcL2_VYA5nD9_UT0h97WESAK8HwLhWKIDH-5lJ3CDDb7DC_JEHR4m0FmnZcXWgRN5H37f2R6lqfSnlaErQsf4sRHXThrrcpo1ajkmvLUzSmmDThLERoDmuXoLTg4yaeER4vB-cBVpXWhY-idkZNtlyNCSPFxcPiqcgbYj8sMky59LMc9JqC83UvBZMI4kB6tzbOw0edNgfgXXNI3o37TXMSIdIOBg1KUe6rkVPwt8z5XhibIMoVQ-oge80czeyPjYUmFvjHo2HPcYCd53gfWrd6kEiyjk2gZb0oL8sXftHHIow/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://places.googleapis.com/v1/places/ChIJ0SV5FV2C4jARvwy0tjDz1Hg/photos/AeeoHcJ-KQhwQy29cGLkG60w-DLCxiNP5I2erPJMEdSsoQCaYcOheFBcqDOk2hKIe8P8wxVTdn7Ev0YG_yVw1bqsArhZ3hisvgdIVlCsVpbXmVjFVm0y86EPr5bn65cQqgl0fA_pWUIyzmHEg9MnTobpQqRm6aHL8uF6d_9on2-xInsF3ErJEWGVKn1kxiXSXcj9l-PkKbKY4sQHfwoy_94zKoB7Y352SwScJoI3W783_3Y0ixmdVK5IeNdGL2w8DrvYsV-4xv5ptE0b5zFHDkMizwf3B-065dHPaWL0Enc_UywwS--IjMvH8rDSi_AHtZEwswy4cmHQrh6suJbHmBhzLq9cHE1AJoR3E9FSqqQFpfdKyuIBXrbeHjcdKUuvcuYC3PhZhi8XtmtlyfUZ50IsdM3IwtcFalkunQobPGtDCAmKAQ/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://www.google.com/maps/place/?q=place_id:ChIJ0SV5FV2C4jARvwy0tjDz1Hg
Anona Massage (Don Mueang) ร้านนวดอโณณาสาขาดอนเมือง,4.6,21,https://places.googleapis.com/v1/places/ChIJN6D0wi2D4jARx1gxeYVdxIk/photos/AeeoHcKmqUc9HzM2wXIww05e6Z_sJ0xVC_VN_q_ktEQv2RNpCVcL_ky-7kgZzJUo3mriXCipTjGHHNfnRUGiiI2wHqHFym6mqmRu78UKJKMX3MxpsUKHnqerVFgIEOwROUbY0BMVDnz2WjFhCCn8DbLmhF7ZqK92SYFXtc1CzC-T-G3U7sEjZjltXqSNvkJDWSJAjR1BFyVqKGtdoR-kpBT9LOdmpJR8eH1zCQp7bdUK4ZX8HfMbIF2xEIVaeRj3fktfHlkPOoYTw9TzQBiihoK3R974lrGg-SRBlyvIDeADLSccUMP0GdfHjKj_Db5rOGwuaDcaS6xBDKtvDuOODOAQa4BVvoLMy5w56_394480RqBn6PL-Zf87m3ZDBFuV4QkQb4-uWJhI9nRcqXVoDrIJhdZRhu2QJCMn7sEfj31vlh-pbw/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://places.googleapis.com/v1/places/ChIJN6D0wi2D4jARx1gxeYVdxIk/photos/AeeoHcIWsea4_k-ZoT0x5IhRK7iyi7LmsU7Z0PIyrkh_UfE_XVtSkTb9N8ta8aA7xhTXC15SO3P8Yq_MsPUMMjNO4BhidDPGlqrEuRuQfib8RIWVrO2Hi8hAc__-75UjsassOi8hIbqeCBJ_hKroCb3pBj6lmgF8vpu3KOHXElMIvWMuqUopSEMnv_ybJb9rhymuDrcyFToTtlbjpEuxL5PJB84vQ6B7N2kIy6qA3sC5UbfIRH8Hi29dFXBvJEZjpCwGgUTgVMXBtmX7gztM4Wcka7H42gicB7hMsrQEQgiGtfjMbsZ5EQwmYImjy3qfHFCZhK1XkCNJtc-CKPNAiJnrGdpg4GCwdGb4Nc4LhlkD_aoTsC35smF_vvfdGe_9vPtwPZ_mWNeJlVXjgInkK1huTYgHiClVdgd6qNHrQhwlnAdx_BYC/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://places.googleapis.com/v1/places/ChIJN6D0wi2D4jARx1gxeYVdxIk/photos/AeeoHcIzEs2-E6SKDLyGtQelOc7ENLZeIbXy22a8ZaN_P8adhZxma1uS-IgNs0zynCHL5PCTFutF3uh3Sol4ZAxM26hV0Dkn9Qv8zSY42LbLt_zuKCu6ZyCdfpqP_pIwmLSeYGLOg5d0jkbz09PRtNsUFYNL7bXyK1ndWTQlARbm325J3EXDvvj1nXTR8qksXr1i9h4JOE_yN5JSLavfZKe7HIIA4Urwz2ZlKxzPSmbDRmjMaVeYxqvrvybJ57DTdzc2rVZbAdyIqUIc6LUg-Q9MvR5y9LLsrkfXtpqBRymhRo-c0zdL-_2103C3yVeU_tcayYuadgY3XAz5HDcxhvX8NOHFoxUbJigkwXmWsNyEe_vWPG3IVDVUKWl5LRoCe_POhxDXuPVqsx7heMlAYAyRfSlPD0UmpmFKlIKSHN6LYuaMxA/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://www.google.com/maps/place/?q=place_id:ChIJN6D0wi2D4jARx1gxeYVdxIk
เรือนสุขภาพดีดีgoodgoodThai massage,4.2,29,https://places.googleapis.com/v1/places/ChIJdzf2RQCD4jARKol0u8q5B2M/photos/AeeoHcKFOoIN_PMLNiQdNZj94EH2GkIC7_-ETD8P0YThBr4hYstwDEdUafESUG9FmGm4uP8YMA6A9TdthIH1f27EBj-xXabRTYmt6RI4hO0r_YQWULEPiKI1jivSdV7AliSNG7N8kS-P3V-Omk1_gPhzi8qFG44IvzUZSWKviLUfIMCmqVi6PKPhlxq_MSQ_9PWa6wMSmND2Q4WGt4JlltPmWVRbpUGXyn3luY8dfJKa2NIlu_Zrp3E8EiyjeUgjBu4xc7VK0ELZDF7Nk-7yKfAmD4ICv5kysG04k2CBO6s96AilAA/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://places.googleapis.com/v1/places/ChIJdzf2RQCD4jARKol0u8q5B2M/photos/AeeoHcIOH6Wv-XLGwYCBKaRwUbVAMGP3gyD39v_leaH4bdwFxZjO0mlcekSQPw2JERBZDO1ZCErSfja_va1qajdOrjAqLjFxcuc2HQK6wea0KNBPp36-O78bQk3uBwxugVro6rgndl3hywvwrTuIvKrkHIY4s9KUZypOs31l6FpRaHL6BUSSxlPZAFYt1e2GUCbhIsZrku4T7Fg2sLGj_663HS-cz9chUs1cUIbxS_kVXP72tioBVUGFm7-rKBqcqfOb0y031A8KvyGk-urqwHgO-KOPAthGg04O0fzzfPI1QxXCuw/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://places.googleapis.com/v1/places/ChIJdzf2RQCD4jARKol0u8q5B2M/photos/AeeoHcLUF4xkpm8R_CgVeuK-ToMDjbb19vVVqJbMxQ-2WOw_SIgkZ46grk9TBLvjW0ukOcs9r6a_MfUhYSwJdJVu1_rGFh0wzLwZPg2dNVkvgLv0o64A3zA3icLvsdVbrc24aESkNb4o1ezW9-QFZlVFs06bdsS7O0Y6T2Nfqmx3VL1h-NAFdROKchNheFlWaQlAiT06_xktajzhI48SKSTzOA5tb00PiEmkP0Rsds-idNNQsvnJAy5Y98n3noTN3ktUyAOZKX_LvZMOCKF06OZDA1D1H8k37h9L6818Zb59EjEbtzd0hX7nS_ZiBER6O20Vnd33QKYnC9iJ3ikINEiIDGQo_ZTYDCVf849G3zzCY-LBG7fPXrpc5EKNW7oJ7k21fGGTPjR5ibmSds81AixsJ7W4vqqkE0Dayni0hbl97EY/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://www.google.com/maps/place/?q=place_id:ChIJdzf2RQCD4jARKol0u8q5B2M
บัณบุรา Bunbura Massage • ดอนเมือง,4.7,67,https://places.googleapis.com/v1/places/ChIJt-VJf_aC4jAR_ohFp0XdxE0/photos/AeeoHcIuF96kBZLWTjd3qZqkkAutu_rc8Q6GWpviDkkpBhzDdl1paLjPdXmSess_JGyg6jYhOEPW1hjQQOaYi7vHhf8XuZyWFWoBSIcVFJQsjaBczsoU6le-4vMF1KsZTtGp77yuo4qYkm98Phea0WOi9Gtow5tMmVwk2bujpt90Srx9aHirRjqfg6jdlAhWAcD5KBr9EAXrxoz_hUpiA7uCl-Rl3w6pUgZSBPP0K_jn-Ics4iykmOh9pkvDTiHwxD_NyyaXsS5E_ft9FfZzmh3NqV7vC5T1JYq4k9ZKdvDa02VLwg/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://places.googleapis.com/v1/places/ChIJt-VJf_aC4jAR_ohFp0XdxE0/photos/AeeoHcKKjez0Xcku8B6oNdVqHKP6DVOntgLfAU2PDPi2wwzdQZxlUfU_k_XtaLyqUazpVooc0baOfClgt-5ZtsUtKApgjqBD7phLxOxwePdyWZitidLpEouTQOlzaQFLi9yl3agAk-rCdxbj2XcjF3oBmSsXGWOWm-xcfYXUufU-8JupD_bSqV_TDSEKoTooS6oimnfJzKfNO2uAXEmxNo9LAwMTsREeCA1iI0iHql4vnqLPrj9tn1FyVh2sic38ltR-lCfwwYXy0J1n2lBUpHHY6FtrnaZhRrn7Ifdj7NodI8_kYrenNxFtsuxL2JwnemVQYveAxPT2sVG5Vw3L--Ni5e3MK5yi80WjHUBYrE41tBS8Uja1xEdKPcuqNxMrjmC-lAsyXtI1CoMrnsWD1tiYpr63D_6RU0Lwi2BKLxj48CpTyTZa/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://places.googleapis.com/v1/places/ChIJt-VJf_aC4jAR_ohFp0XdxE0/photos/AeeoHcIIUhUJJfOv_9PXZMWvvDJxWx_ke-du74uopeSDKPx08NMtXuFjLeE91282o7QLbbuAxfcK9m5tPAP5Y_86OXlj7uI-3wuk8RhXShYh9thNbte1RzexMuz33HHaU8FhCCHa9eudnQQDBeyFUZ2NW_yfLaLXPAdaYL9QGwMPxEXai9EfRmv50ZhF3cd91Ot82psbQJewNXfB8Rxcm3Y32F8Q0j0JV-E0PMCCjX9DA_f4VdQGdNHq6s_lxp4IWXq-vSrXuZ0gGm9h9PRbhhYZJJHQUU4__n7dAGfw1oXiMyGM39lMOYiHhDCzZotK4NsxncwyJFjACG8F5oIJsMuP0g8AiCIApE1QcpG4IQScvxHvrO9WjXjNSvpkHbO2zScpvzvkErAXGaLoLMA3mc1c1sNI8PBTaW7fQkY50dmAtmlEnA/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://www.google.com/maps/place/?q=place_id:ChIJt-VJf_aC4jAR_ohFp0XdxE0
ร้านทำเล็บ SHINE VIBES Nail & Beauty Lounge สาขา ยิ่งเจริญแสควร์ (BTS สะพานใหม่),5,20,https://places.googleapis.com/v1/places/ChIJZbnUVrWD4jARovhECh8Mkao/photos/AeeoHcLbSITw2CTJ2fhSLNPb4Rs0_tXJi2wCq0Wx8V9agqOe6v7l5GY2_9T3BxjJ4-nvZrOGNNpbjxZd9VaQz0i9nPrxc4jy2bKbojjwaZCpt-BR1Q-WFvC4LgkTrfc1zw02a4l2Dey4101FTcxQ-MCLJAo-jKSwBLIFEsBUfDE6HoGBsHVy-GBpFjVluuxcI2EsZQ-RgPGA9CNyl_19ZltQh_IxXBYduXCjSdtk-5qPNZqCv5JywHQ3ALhVgChFNuonRgeJv6sRoYWAF0wSTKeyBdyv69bz2rBlpn-YCSHfA-jyHUWvVP8vzGvIt2RFQay2OXD4_qqSj6JQBoulVvJYtg7hseQ6xM0nLWQHV-ZFNKgarXPXp-l_KWTH2vxMkIEQrbcrv-aQVdwr5Xemmwa5rssLo6wvrOTZXaiOgxGHwKQ/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://places.googleapis.com/v1/places/ChIJZbnUVrWD4jARovhECh8Mkao/photos/AeeoHcIvpzmM1uoEvvTJOIULbDTIWsftFad69prnC6wqBMW-H3QPqQz8plqRdWMUqH9J9eXqsfO4Ga_w4YITrT9GxM8IvipirAjKi8_3WOdvBbVdg20ZmJXQLbk12UudsxRHDvvVnhgbFyCuZuFyy24vaytG_4GgSmmvytwYZs7X3XLHFX8UMTUunIMqAWY2COiFC5Ta5G-7HMIrnzTLlniTmISX7Abxdqe1CVe3EmQYgFt_xqE9W5-bjHAcykmZgsQgt6FUk_AqlivaCoJS1JtW_xjHYcLUUCKr69ZvV6f5qFA-v6ubVO-zmJ-40IE7sQfxkuUrlidcm5ove-VzKceitb_jnW44Vmo99746HK8V05GnAi4ceOl6wQpHQy8x3qvSUbMKYm_55j5mmI1uDi_fraZrx7v6nc_X0ldrCF8O0J-3oQ/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://places.googleapis.com/v1/places/ChIJZbnUVrWD4jARovhECh8Mkao/photos/AeeoHcKFG14JivseTaTZ-rIGJrW6gGSV1kb6evVoU7ex_CdT5Rg2t25rg0d5VHDpJFAje7pgSSLoH3I5_T0cQv5qA6D8mIAYaEDvDePxtg9GuQdmdyy8Ldosf40beGw2W6LExN4vkg76L0EkUFFWi7ZU7QB-osII8W_FNVpHLLU1sf8X9aC86Myotc1LcWJumPmyWGDh69CT68URT9YRKrMc_Qt76kXZUof1vx1yomtqtp7MxqEbezB4088MW2msH8u4O4ixFUIedvraN50sori_AL89XfuQLfpLouPhoFATb4jTAEFZkjOYQJpOnykbOBJAi773SXAeBOiDXx2rtFfCJ0ydiYtR0jnudKLuAfS79C36C3MHOSOrNo51HBtEQm4id796In6PNR6qYEnepytmoingCaeKsgdZs5XoJPvLQn3aW5c/media?key=AIzaSyC_ZZxoQjkItHwRpOlwiEVHPdQZwjbwRHU&maxHeightPx=800,https://www.google.com/maps/place/?q=place_id:ChIJZbnUVrWD4jARovhECh8Mkao
